Time Stamp,ID,Extended,Bus,DLC,D1,D2,D3,D4,D5,D6,D7,D8
2124377,3a0,0,1,8,ff,ff,c0,ff,ff,ff,ff,fd
2124377,337,0,1,2,ff,ff,0,0,0,0,0,0
2124377,3a5,0,1,5,e1,d5,ff,ff,ff,0,0,0
2124377,3b4,0,1,8,0c,0d,4d,f1,b9,ff,0,fd
2124378,510,0,1,8,40,10,20,0,0,0,0,0
2124378,0c0,0,1,2,fa,40,0,0,0,0,0,0
2124380,12f,0,1,8,e6,24,86,1a,f1,31,30,0
2124380,1d6,0,1,2,f0,cc,0,0,0,0,0,0
2124380,1ee,0,1,2,0,fc,0,0,0,0,0,0
2124380,2a6,0,1,2,0,84,0,0,0,0,0,0
2124381,2cf,0,1,2,fa,ff,0,0,0,0,0,0
2124381,2fc,0,1,8,84,0,0,ff,ff,ff,ff,ff
2124381,314,0,1,3,ff,ff,ff,0,0,0,0,0
2124381,349,0,1,5,fe,ff,f4,24,0,0,0,0
2124381,3ac,0,1,2,fe,cf,0,0,0,0,0,0
2124381,3be,0,1,3,0d,f0,0,0,0,0,0,0
2124385,242,0,1,5,d1,f3,ff,ff,ff,0,0,0
2124386,2.00E+06,0,1,8,0,38,64,32,1f,0,1f,26
2124387,2f0,0,1,3,35,dd,f0,0,0,0,0,0
2124387,2f9,0,1,7,0,0,0,8,1,c0,f3,0
2124388,300,0,1,8,16,3e,19,86,65,18,96,65
2124390,1ee,0,1,2,0,fc,0,0,0,0,0,0
2124395,1.00E+01,0,1,6,df,f0,0,ff,ff,ff,0,0
2124397,03c,0,1,8,ff,5f,0,0,0,0,ff,ff
2124397,3b4,0,1,8,0c,0d,4d,f1,b9,ff,2,fd
2124405,12f,0,1,8,bb,25,86,1a,f1,31,30,0
2124416,0a9,0,1,8,0,7d,0,90,f1,0,0,ff
2124417,390,0,1,4,f0,ff,ff,ff,0,0,0,0
2124426,2a1,0,1,5,0,58,2,0,f0,0,0,0
2124429,19d,0,1,8,82,c8,91,6,ff,ff,ff,ff
2124429,2c5,0,1,7,f6,ff,0,30,c6,70,c8,0
2124429,2ca,0,1,2,5e,5e,0,0,0,0,0,0
2124429,2f7,0,1,6,2,d8,49,9,11,f1,0,0
2124430,2f8,0,1,8,0f,25,18,11,c7,e7,7,f5
2124430,328,0,1,6,fa,e1,87,0e,30,22,0,0
2124430,330,0,1,8,89,ae,1,0,0,ff,cd,4
2124430,356,0,1,8,52,c0,4,ff,ff,ff,ff,ff
2124431,373,0,1,6,0,c0,4,ff,ff,ff,0,0
2124431,393,0,1,4,ff,ff,ff,ff,0,0,0,0
2124434,7be,0,1,8,6,1,20,0,0,1,83,0
2124436,397,0,1,7,0,2b,0,97,1,1f,0,0
2124439,336,0,1,7,0,0,0,fe,ff,fe,ff,0
2124446,2b0,0,1,6,31,3c,0,c5,ff,ff,0,0
2124451,197,0,1,4,64,e0,9e,c0,0,0,0,0
2124454,1ae,0,1,2,fb,ff,0,0,0,0,0,0
2124466,3d2,0,1,2,f3,ff,0,0,0,0,0,0
2124472,514,0,1,8,0,0,0,0,e0,0a,0,14
2124475,510,0,1,8,40,10,20,0,0,0,0,0
2124478,03c,0,1,8,ff,5f,0,0,0,0,ff,ff
2124481,197,0,1,4,6,1,0e,c0,0,0,0,0
2124482,514,0,1,8,0,0,0,0,e0,0a,0,14
2124484,7bd,0,1,8,0,0,0,c0,ff,40,1,1
2124484,1d0,0,1,8,6c,f0,df,ff,ff,ff,ff,ff
2124485,2c4,0,1,8,ff,ff,ff,64,64,64,ff,ff
2124485,0a5,0,1,8,4a,f0,ff,f7,7f,ff,ff,ff
2124485,0ac,0,1,2,ff,f7,0,0,0,0,0,0
2124485,0d9,0,1,8,64,f0,ff,ff,ff,ef,7f,ff
