CAN speed 1: 500k CAN speed 2: 500k CAN speed 3: 1000k/4000k Id format: HEX | Data format: HEX | Id29 format: 29 
	
>	0	   17:18:39.303:4446.00	St	0x197	0	4	64	E0	9E	C0	 	 	 	 	p:1
>	1	   17:18:39.334:2993.00	St	0x197	0	4	06	01	0E	C0	 	 	 	 	p:1
>	2	   17:18:39.355:2240.00	St	0x112	0	8	FF	FF	FF	FF	FF	7F	F5	FF	p:2
>	3	   17:18:39.361:6576.00	St	0x112	0	8	FF	FF	FF	FF	FF	7F	F5	FF	p:2
>	4	   17:18:39.364:200.00	St	0x2FF	0	6	0F	00	FF	FF	FF	FF	 	 	p:2
>	5	   17:18:39.364:829.00	St	0x197	0	4	8A	02	0E	C0	 	 	 	 	p:1
>	6	   17:18:39.369:6519.00	St	0x1A1	0	5	09	C6	00	00	88	 	 	 	p:1
>	7	   17:18:39.372:2445.00	St	0x112	0	8	FF	FF	FF	FF	FF	7F	F5	FF	p:2
>	8	   17:18:39.372:228.00	St	0x239	0	8	00	FF	FF	FF	FF	1A	FF	FF	p:2
>	9	   17:18:39.375:3239.00	St	0x512	0	8	00	00	00	00	00	00	00	12	p:1
>	10	   17:18:39.378:3212.00	St	0x105	0	8	8D	F7	7F	E0	2E	00	FC	0F	p:1
>	11	   17:18:39.378:274.00	St	0x1D0	0	8	5C	F3	9D	F8	FF	FF	FF	FF	p:1
>	12	   17:18:39.382:1429.00	St	0x19E	0	8	05	00	00	04	00	00	FF	FF	p:1
>	13	   17:18:39.382:1640.00	St	0x433	0	4	FF	00	0F	FF	 	 	 	 	p:1
>	14	   17:18:39.382:78.00	St	0x112	0	8	FF	FF	FF	FF	FF	7F	F5	FF	p:2
>	15	   17:18:39.382:137.00	St	0xAD	0	8	FF	FF	00	00	00	00	F0	FF	p:1
>	16	   17:18:39.382:90.00	St	0x2BD	0	8	83	00	F0	FF	FF	FF	FF	FF	p:2
>	17	   17:18:39.382:86.00	St	0xBB	0	3	00	FF	FF	 	 	 	 	 	p:1
>	18	   17:18:39.382:75.00	St	0x2F5	0	8	00	0F	0A	20	40	0B	D4	1E	p:2
>	19	   17:18:39.382:154.00	St	0x100	0	8	D6	F1	7F	C0	5D	00	00	00	p:1
>	20	   17:18:39.382:269.00	St	0x108	0	8	00	00	FF	00	00	FF	FF	FF	p:1
>	21	   17:18:39.382:235.00	St	0x13D	0	8	FF	FF	00	60	41	16	F4	FF	p:1
>	22	   17:18:39.383:241.00	St	0x153	0	8	00	00	0F	00	00	00	00	F0	p:1
>	23	   17:18:39.383:128.00	St	0x10B	0	3	CD	01	FC	 	 	 	 	 	p:1
>	24	   17:18:39.383:247.00	St	0x13E	0	8	FF	00	00	00	00	00	00	00	p:1
>	25	   17:18:39.383:270.00	St	0x192	0	8	FF	FF	00	0F	00	FF	FF	FF	p:1
>	26	   17:18:39.385:223.00	St	0x2B7	0	8	00	00	00	00	00	00	00	00	p:1
>	27	   17:18:39.385:996.00	St	0x2E2	0	8	00	00	00	00	00	00	00	00	p:1
>	28	   17:18:39.385:232.00	St	0x2E8	0	8	C0	00	C0	FF	FF	F0	F1	55	p:1
>	29	   17:18:39.385:246.00	St	0x32F	0	8	00	00	00	00	00	43	04	00	p:1
>	30	   17:18:39.385:271.00	St	0x2B3	0	8	00	08	08	00	0F	E0	7F	00	p:1
>	31	   17:18:39.386:227.00	St	0x19E	0	8	00	00	00	00	00	00	FF	FF	p:1
>	32	   17:18:39.386:257.00	St	0x3A4	0	8	82	00	00	00	00	FF	0F	00	p:1
>	33	   17:18:39.386:222.00	St	0x3C9	0	8	AC	00	00	0A	6A	00	F0	39	p:1
>	34	   17:18:39.386:148.00	St	0x3E5	0	3	FC	FF	FF	 	 	 	 	 	p:1
>	35	   17:18:39.386:267.00	St	0x3F9	0	8	C1	00	80	C0	A6	30	C0	FF	p:1
>	36	   17:18:39.389:109.00	St	0x3E8	0	2	F0	FF	 	 	 	 	 	 	p:1
>	37	   17:18:39.389:273.00	St	0x3E9	0	8	00	00	00	00	00	00	00	00	p:1
>	38	   17:18:39.389:211.00	St	0x3FB	0	6	FF	FF	FF	FF	1F	00	 	 	p:1
>	39	   17:18:39.389:236.00	St	0x3EC	0	8	C0	00	00	00	00	00	0F	FC	p:1
>	40	   17:18:39.389:153.00	St	0x3FC	0	3	C0	F9	0F	 	 	 	 	 	p:1
>	41	   17:18:39.389:205.00	St	0x3FD	0	5	29	01	00	00	FF	 	 	 	p:1
>	42	   17:18:39.389:233.00	St	0x418	0	8	FF	3C	FF	00	C0	0F	FF	FF	p:1
>	43	   17:18:39.389:174.00	St	0x41D	0	4	FF	F7	7F	FF	 	 	 	 	p:1
>	44	   17:18:39.389:225.00	St	0x105	0	8	D1	F8	7F	E0	2E	00	FC	0F	p:1
>	45	   17:18:39.389:180.00	St	0x429	0	3	00	F0	00	 	 	 	 	 	p:1
>	46	   17:18:39.389:338.00	St	0x1A1	0	5	FC	C8	00	00	88	 	 	 	p:1
>	47	   17:18:39.392:2624.00	St	0x13D	0	8	FF	FF	00	60	41	16	F4	FF	p:1
>	48	   17:18:39.392:83.00	St	0x112	0	8	FF	FF	FF	FF	FF	7F	F5	FF	p:2
>	49	   17:18:39.392:143.00	St	0xAD	0	8	FF	FF	00	00	00	00	F0	FF	p:1
>	50	   17:18:39.392:84.00	St	0x3EB	0	8	FF	FF	FF	FF	FF	FF	FF	FF	p:2
>	51	   17:18:39.392:82.00	St	0xBB	0	3	00	FF	FF	 	 	 	 	 	p:1
>	52	   17:18:39.392:233.00	St	0x100	0	8	31	F2	7F	C0	5D	00	00	00	p:1
>	53	   17:18:39.392:324.00	St	0x197	0	4	05	03	0E	C0	 	 	 	 	p:1
>	54	   17:18:39.395:1774.00	St	0x507	0	8	00	00	00	00	00	00	00	07	p:2
>	55	   17:18:39.398:3907.00	St	0x105	0	8	8C	F9	7F	E0	2E	00	FC	0F	p:1
>	56	   17:18:39.401:3269.00	St	0x112	0	8	FF	FF	FF	FF	FF	7F	F5	FF	p:2
>	57	   17:18:39.401:118.00	St	0x153	0	8	00	00	0F	00	00	00	00	F0	p:1
>	58	   17:18:39.402:116.00	St	0x41C	0	2	FF	FC	 	 	 	 	 	 	p:2
>	59	   17:18:39.402:148.00	St	0xAD	0	8	FF	FF	00	00	00	00	F0	FF	p:1
>	60	   17:18:39.402:151.00	St	0xBB	0	3	00	FF	FF	 	 	 	 	 	p:1
>	61	   17:18:39.402:234.00	St	0x100	0	8	6C	F3	7F	C0	5D	00	00	00	p:1
>	62	   17:18:39.402:235.00	St	0x13D	0	8	FF	FF	00	60	41	16	F4	FF	p:1
>	63	   17:18:39.402:148.00	St	0x10B	0	3	19	02	FC	 	 	 	 	 	p:1
>	64	   17:18:39.406:1443.00	St	0x3E9	0	8	B0	81	00	00	00	00	00	00	p:1
>	65	   17:18:39.406:272.00	St	0x13E	0	8	FF	00	FA	FA	FA	FA	00	00	p:1
>	66	   17:18:39.406:228.00	St	0x192	0	8	FF	FF	80	8F	93	FF	FF	FF	p:1
>	67	   17:18:39.406:278.00	St	0x2B7	0	8	18	00	00	40	00	00	00	00	p:1
>	68	   17:18:39.406:203.00	St	0x2E2	0	8	F7	6F	09	80	07	5A	FF	00	p:1
>	69	   17:18:39.406:235.00	St	0x3A4	0	8	6D	A1	5A	03	00	FF	0F	00	p:1
>	70	   17:18:39.406:269.00	St	0x3EC	0	8	FA	51	00	00	00	00	0F	FC	p:1
>	71	   17:18:39.406:177.00	St	0x433	0	4	FF	01	0F	FF	 	 	 	 	p:1
>	72	   17:18:39.406:236.00	St	0x59A	0	8	65	01	FF	00	00	00	FF	02	p:1
>	73	   17:18:39.408:2272.00	St	0x105	0	8	6B	FA	7F	E0	2E	00	FC	0F	p:1
>	74	   17:18:39.411:721.00	St	0x1A1	0	5	DB	CA	00	00	88	 	 	 	p:1
>	75	   17:18:39.411:1263.00	St	0x10E	0	8	FE	E7	7F	00	00	7D	00	F0	p:1
>	76	   17:18:39.411:235.00	St	0x2E3	0	8	FE	00	0F	00	FF	FF	FF	FF	p:1
>	77	   17:18:39.411:236.00	St	0xA5	0	8	47	F0	FF	FF	FF	00	00	FF	p:1
>	78	   17:18:39.411:242.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	79	   17:18:39.411:230.00	St	0x2B3	0	8	00	08	08	00	0F	E0	7F	00	p:1
>	80	   17:18:39.411:246.00	St	0x3F9	0	8	9C	01	80	C0	A6	30	C0	FF	p:1
>	81	   17:18:39.411:73.00	St	0x112	0	8	FF	FF	FF	FF	FF	7F	F5	FF	p:2
>	82	   17:18:39.411:123.00	St	0xBB	0	3	7D	FF	FF	 	 	 	 	 	p:1
>	83	   17:18:39.412:135.00	St	0x430	0	8	00	00	00	00	00	00	00	00	p:2
>	84	   17:18:39.412:122.00	St	0xAD	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	85	   17:18:39.412:262.00	St	0x100	0	8	E2	F4	7F	C0	5D	00	00	00	p:1
>	86	   17:18:39.412:168.00	St	0x13D	0	8	FF	FF	FE	E7	7F	FE	F7	FF	p:1
>	87	   17:18:39.415:2988.00	St	0x3D0	0	2	FD	FF	 	 	 	 	 	 	p:1
>	88	   17:18:39.415:243.00	St	0x3FB	0	6	FF	FF	FF	FF	1F	00	 	 	p:1
>	89	   17:18:39.415:137.00	St	0x41D	0	4	FF	F7	7F	FF	 	 	 	 	p:1
>	90	   17:18:39.419:2537.00	St	0x105	0	8	36	FB	7F	E0	2E	00	FC	0F	p:1
>	91	   17:18:39.420:1711.00	St	0xAA	0	8	00	FC	00	7C	C0	5D	D0	F7	p:1
>	92	   17:18:39.420:235.00	St	0xA5	0	8	1A	F1	FF	FF	FF	00	00	FF	p:1
>	93	   17:18:39.420:540.00	St	0x1FA	0	8	40	49	05	F0	FF	43	FF	FF	p:2
