Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000000,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,CF,49
1047453,00000441,FALSE,Tx,0,8,98,3A,88,13,07,00,FF,8C
1050040,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,DF,39
1100991,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,EF,29
1147652,00000441,FALSE,Tx,0,8,98,3A,88,13,07,00,FF,8C
1151016,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,FF,19
1201023,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,0F,09
1247426,00000441,FALSE,Tx,0,8,98,3A,88,13,B8,00,FF,DB
1252230,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,1F,F9
1303125,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,2F,E9
1347435,00000441,FALSE,Tx,0,8,98,3A,88,13,2A,01,FF,68
1353414,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,3F,D9
1403149,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,4F,C9
1447411,00000441,FALSE,Tx,0,8,98,3A,88,13,62,01,FF,30
1453420,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,5F,B9
1503194,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,6F,A9
1547445,00000441,FALSE,Tx,0,8,98,3A,88,13,7F,01,FF,13
1553418,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,7F,99
1605219,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,8F,89
1647438,00000441,FALSE,Tx,0,8,98,3A,88,13,8D,01,FF,05
1655189,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,9F,79
1705199,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,AF,69
1747437,00000441,FALSE,Tx,0,8,98,3A,88,13,95,01,FF,FD
1755225,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,BF,59
1805376,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,CF,49
1847444,00000441,FALSE,Tx,0,8,98,3A,88,13,9E,01,FF,F4
1856473,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,DF,39
1909266,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,EF,29
1947426,00000441,FALSE,Tx,0,8,98,3A,88,13,9E,01,FF,F4
1959287,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,FF,19
2009397,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,0F,09
2047421,00000441,FALSE,Tx,0,8,98,3A,88,13,9E,01,FF,F4
2059333,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,1F,F9
2109339,0000012D,FALSE,Tx,0,8,A0,28,02,A0,0C,71,2F,E9
2147399,00000441,FALSE,Tx,0,8,98,3A,88,13,9E,01,FF,F4
2159362,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
2209384,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
2250970,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
2258285,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
2301957,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
2351968,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
2358270,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
2403153,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
2454317,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
2458292,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
2506017,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
2556042,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
2558299,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
2609061,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
2658284,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
2659093,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
2709114,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
2758249,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
2760111,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
2810126,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
2858486,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
2861242,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
2911212,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
2958450,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
2962341,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
3012209,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,4F,89
3058277,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3062359,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,5F,79
3112241,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,6F,69
3158284,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3162388,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,7F,59
3212284,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,8F,49
3258239,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3263389,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,9F,39
3313529,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,AF,29
3358264,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3364551,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,BF,19
3414401,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,CF,09
3458239,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3467422,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,DF,F9
3517386,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,EF,E9
3558274,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3567463,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,FF,D9
3617505,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,0F,C9
3658245,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3667493,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,1F,B9
3719479,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,2F,A9
3758259,00000441,FALSE,Tx,0,8,98,3A,88,13,9D,01,FF,F5
3769612,0000012D,FALSE,Tx,0,8,A0,28,00,22,0C,31,3F,99
