Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1767062175875212,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062175874870,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FC,52,
-1767062175874615,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,7F,
-1767062175874359,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277460228,00000182,false,Rx,0,8,00,02,FF,7F,F9,00,00,00,
-1767062277459972,00000141,false,Rx,0,8,0C,81,6E,5D,4F,64,00,05,
-1767062277459716,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277459460,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,E7,
-1767062277459204,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277458949,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,80,
-1767062277458693,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277450288,00000142,false,Rx,0,8,23,71,21,73,89,01,00,05,
-1767062277450032,0000017B,false,Rx,0,8,01,65,A0,00,10,2F,00,00,
-1767062277449776,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277449520,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277449264,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277449008,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277440219,00000141,false,Rx,0,8,0D,CD,6E,5C,4F,64,00,05,
-1767062277439963,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277439707,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277439451,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277439195,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277438982,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277430321,00000178,false,Rx,0,8,60,00,01,F2,38,75,58,00,
-1767062277430065,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062277429809,000005C1,false,Rx,0,8,00,00,00,00,80,00,07,56,
-1767062277429553,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,7D,
-1767062277429297,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277420039,00000142,false,Rx,0,8,24,71,22,73,91,01,00,05,
-1767062277419826,00000141,false,Rx,0,8,0E,19,6E,5C,4F,64,00,05,
-1767062277419527,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277419271,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,E7,
-1767062277419015,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277418759,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277418503,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277411933,00000536,false,Rx,0,8,00,41,40,21,00,00,00,00,
-1767062277409032,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277408776,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277408520,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277408264,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277400072,00000145,false,Rx,0,8,73,A7,50,87,F3,73,69,1C,
-1767062277399816,00000053,false,Rx,0,8,00,00,80,01,78,7F,F9,00,
-1767062277399475,00000141,false,Rx,0,8,00,F6,6E,5D,4F,64,00,05,
-1767062277399219,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277398963,00000175,false,Rx,0,8,07,FF,00,0B,9C,80,00,0E,
-1767062277398707,0000017B,false,Rx,0,8,01,65,A0,00,10,2F,00,00,
-1767062277398451,0000018A,false,Rx,0,8,00,00,00,01,00,00,00,01,
-1767062277398195,00000288,false,Rx,0,8,23,37,9F,FF,00,02,0A,00,
-1767062277397939,00000290,false,Rx,0,8,23,24,23,0B,01,03,CA,7F,
-1767062277397683,00000493,false,Rx,0,8,00,00,00,00,00,00,00,06,
-1767062277397427,00000494,false,Rx,0,8,00,00,00,00,00,00,00,01,
-1767062277397171,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,E7,
-1767062277396872,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277396659,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277396403,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277390302,00000142,false,Rx,0,8,25,71,23,73,91,01,00,05,
-1767062277390046,00000182,false,Rx,0,8,00,02,FF,7F,F9,00,00,00,
-1767062277389748,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,E7,
-1767062277389534,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FC,52,
-1767062277389278,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277389022,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277380233,00000141,false,Rx,0,8,01,BA,6E,5C,4F,64,00,05,
-1767062277379977,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277379721,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062277379465,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277379209,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,84,
-1767062277378954,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277370250,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,E7,
-1767062277369909,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,F8,A7,
-1767062277369610,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,80,
-1767062277369397,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277360224,00000142,false,Rx,0,8,26,71,24,73,89,01,00,05,
-1767062277359968,00000141,false,Rx,0,8,02,6E,6E,5C,4F,64,00,05,
-1767062277359669,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277359456,00000178,false,Rx,0,8,60,00,05,E4,38,75,58,00,
-1767062277359200,00000286,false,Rx,0,8,A8,4A,FF,F0,00,50,01,01,
-1767062277358944,00000479,false,Rx,0,8,23,23,23,05,1C,54,00,01,
-1767062277358688,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,F4,
-1767062277358432,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277358176,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277357920,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277350283,0000017B,false,Rx,0,8,01,65,A0,00,10,2F,00,00,
-1767062277350027,00000316,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1767062277349771,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277349473,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277349259,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,84,
-1767062277349003,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277340257,00000141,false,Rx,0,8,03,22,6E,5C,4F,64,00,05,
-1767062277339959,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277339703,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,E7,
-1767062277339447,000005C1,false,Rx,0,8,00,00,00,00,80,00,0B,01,
-1767062277339191,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277338935,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277330317,00000142,false,Rx,0,8,27,71,25,73,89,01,00,05,
-1767062277330018,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,BF,
-1767062277329762,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277329506,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,88,
-1767062277329250,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277320120,00000182,false,Rx,0,8,00,02,FF,7F,F9,00,00,00,
-1767062277319864,00000141,false,Rx,0,8,04,DB,6E,5C,4F,64,00,05,
-1767062277319608,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277319352,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,BF,
-1767062277319096,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277318840,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,80,
-1767062277318584,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277311928,00000536,false,Rx,0,8,00,41,40,21,00,00,00,00,
-1767062277309027,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,BF,
-1767062277308771,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277308515,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277308259,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277300068,00000145,false,Rx,0,8,73,A7,50,87,F3,73,69,1C,
-1767062277299812,00000053,false,Rx,0,8,00,00,80,01,77,7F,F9,00,
-1767062277299513,00000141,false,Rx,0,8,05,97,6E,5C,4F,64,00,05,
-1767062277299257,00000142,false,Rx,0,8,28,71,26,73,89,01,00,05,
-1767062277299001,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277298788,00000175,false,Rx,0,8,07,FF,00,0B,9C,80,00,0E,
-1767062277298532,0000017B,false,Rx,0,8,01,65,A0,00,10,30,00,00,
-1767062277298233,0000018A,false,Rx,0,8,00,00,00,01,00,00,00,01,
-1767062277297977,00000288,false,Rx,0,8,23,37,9F,FF,00,02,0A,00,
-1767062277297764,00000290,false,Rx,0,8,23,24,23,0C,01,03,CA,7F,
-1767062277297508,00000489,false,Rx,0,8,65,2E,0F,00,00,00,00,28,
-1767062277297209,00000493,false,Rx,0,8,00,00,00,00,00,00,00,06,
-1767062277296953,00000494,false,Rx,0,8,00,00,00,00,00,00,00,01,
-1767062277296697,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,E7,
-1767062277296399,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277296185,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277295929,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277290340,00000178,false,Rx,0,8,60,00,06,01,38,75,58,00,
-1767062277290042,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,E7,
-1767062277289786,000005C1,false,Rx,0,8,00,00,00,00,80,00,0B,01,
-1767062277289530,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277289316,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277280186,00000141,false,Rx,0,8,06,43,6E,5C,4F,64,00,05,
-1767062277279973,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277279717,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277279418,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FC,52,
-1767062277279162,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277278949,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277270203,00000142,false,Rx,0,8,29,71,27,73,81,01,00,05,
-1767062277269947,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,E7,
-1767062277269648,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FC,52,
-1767062277269435,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,80,
-1767062277269179,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277260220,00000141,false,Rx,0,8,07,0F,6E,5C,4F,64,00,05,
-1767062277259964,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277259708,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2F,1D,
-1767062277259452,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277259196,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277258940,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277250279,00000182,false,Rx,0,8,00,02,FF,7F,F9,00,00,00,
-1767062277250023,0000017B,false,Rx,0,8,01,65,A0,00,10,2F,00,00,
-1767062277249767,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277249511,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,F4,FA,
-1767062277249255,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,80,
-1767062277248999,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277240040,00000142,false,Rx,0,8,2A,71,28,73,81,01,00,05,
-1767062277239784,00000141,false,Rx,0,8,08,AC,6E,5C,4F,64,00,05,
-1767062277239528,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277239272,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,BF,
-1767062277238973,000005C1,false,Rx,0,8,00,00,00,00,80,00,07,56,
-1767062277238760,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,7F,
-1767062277238504,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277230056,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277229715,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,F8,A7,
-1767062277229459,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,86,
-1767062277229203,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277219987,00000141,false,Rx,0,8,09,E0,6E,5C,4F,64,00,05,
-1767062277219731,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277219518,00000178,false,Rx,0,8,60,00,01,4A,38,75,58,00,
-1767062277219262,00000286,false,Rx,0,8,A8,4A,FF,F0,00,50,01,01,
-1767062277219006,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277218750,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277218494,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,84,
-1767062277218238,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277211967,00000536,false,Rx,0,8,00,41,40,21,00,00,00,00,
-1767062277209321,00000142,false,Rx,0,8,2B,71,29,73,89,01,00,05,
-1767062277209065,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277208809,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277208553,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277208298,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277200021,00000145,false,Rx,0,8,73,A7,50,87,F3,73,69,1C,
-1767062277199765,00000053,false,Rx,0,8,00,00,80,01,77,7F,F9,00,
-1767062277199466,00000141,false,Rx,0,8,0A,34,6E,5C,4F,64,00,05,
-1767062277199210,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277198997,00000175,false,Rx,0,8,07,FF,00,0B,9C,80,00,0E,
-1767062277198741,0000017B,false,Rx,0,8,01,65,A0,00,10,2F,00,00,
-1767062277198442,0000018A,false,Rx,0,8,00,00,00,01,00,00,00,01,
-1767062277198186,00000288,false,Rx,0,8,23,37,9F,FF,00,02,0A,00,
-1767062277197973,00000290,false,Rx,0,8,24,24,23,0D,01,03,CA,7F,
-1767062277197717,00000293,false,Rx,0,8,20,00,9F,94,19,1F,08,C8,
-1767062277197461,00000315,false,Rx,0,8,FF,4F,FB,1F,CE,00,01,07,
-1767062277197205,00000493,false,Rx,0,8,00,00,00,00,00,00,00,06,
-1767062277196906,00000494,false,Rx,0,8,00,00,00,00,00,00,00,01,
-1767062277196650,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,89,
-1767062277196394,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277196138,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,84,
-1767062277195925,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277190123,00000479,false,Rx,0,8,23,23,23,06,1C,54,00,01,
-1767062277189824,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062277189568,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,F8,A7,
-1767062277189355,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277189099,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277180054,00000142,false,Rx,0,8,2C,71,2A,73,89,01,00,05,
-1767062277179798,00000141,false,Rx,0,8,0B,78,6E,5C,4F,64,00,05,
-1767062277179542,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277179286,00000182,false,Rx,0,8,00,02,FF,7F,F9,00,00,00,
-1767062277179030,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277178774,000005C1,false,Rx,0,8,00,00,00,00,80,00,07,56,
-1767062277178518,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277178262,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277170028,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,F4,
-1767062277169687,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FC,52,
-1767062277169431,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,84,
