Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6701353,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6701642,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6701896,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6702177,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6702450,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6702732,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6703007,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6703282,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6703559,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6703842,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6704120,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6704389,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6704665,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6704938,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6705212,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6705487,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6705762,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6706036,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6706313,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6706637,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6706868,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6707148,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6707423,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6707697,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6707977,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6708252,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6708528,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6708808,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6709080,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6709359,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6709642,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6709911,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6710188,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6710463,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6710737,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6711018,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6711293,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6711645,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6711846,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6712122,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6712393,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6712673,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6712947,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6713223,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6713498,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6713779,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6714055,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6714330,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6714642,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6714878,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6715148,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6715429,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6715707,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6715983,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6716258,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6716539,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6716814,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6717090,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6717365,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6717642,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6717917,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6718194,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6718468,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6718743,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6719024,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6719300,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6719642,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6719852,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6720127,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6720403,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6720678,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6720953,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6721224,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6721511,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6721784,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6722060,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6722337,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6722643,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6722883,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6723158,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6723434,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6723709,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6723990,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6724266,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6724541,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6724815,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6725091,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6725367,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6725643,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6725923,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6726200,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6726474,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6726755,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6727027,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6727305,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6727644,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6727855,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6728129,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6728404,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6728679,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6728955,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6729230,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6729511,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6729792,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6730066,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6730341,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6730642,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6730894,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6731169,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6731444,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6731724,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6732000,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6732275,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6732551,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6732826,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6733102,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6733377,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6733653,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6733929,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6734212,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6734486,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6734760,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6735036,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6735312,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6735642,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
6735864,00000000,false,Rx,0,8,00,00,00,00,00,00,80,00,
