Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8035535,000000A3,false,Rx,0,8,B2,06,00,00,00,00,00,00,
8035784,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8037273,000001B1,false,Rx,0,8,00,00,10,00,00,00,00,00,
8037524,000001D3,false,Rx,0,8,00,00,00,00,00,00,00,00,
8037770,00000013,false,Rx,0,8,B6,F1,00,00,00,00,00,00,
8038003,000000AA,false,Rx,0,8,97,0D,00,FA,3F,FE,3F,FF,
8038239,000001B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
8038492,000002DD,false,Rx,0,8,EA,0C,FF,40,0F,FC,00,00,
8038744,0000059F,false,Rx,0,8,9F,00,FF,FF,FF,FF,FF,FF,
8039349,00000092,false,Rx,0,8,06,03,00,00,10,00,28,00,
8039582,00000044,false,Rx,0,8,F3,35,0D,C9,FF,46,00,00,
8039866,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8040069,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8040326,000000A2,false,Rx,0,8,48,06,00,00,00,00,24,09,
8040589,000000A4,false,Rx,0,8,00,00,00,00,27,FE,10,00,
8040883,00000072,false,Rx,0,8,00,00,00,00,05,9D,01,A4,
8041036,000000A8,false,Rx,0,8,67,03,00,00,00,00,00,00,
8041298,00000177,false,Rx,0,8,44,3A,00,00,41,00,3A,6C,
8041554,000001D1,false,Rx,0,8,00,00,7F,7F,7F,7F,FF,C0,
8041883,000001D2,false,Rx,0,8,00,00,00,00,00,00,00,00,
8042051,000001D4,false,Rx,0,8,00,00,00,00,00,00,00,00,
8042675,00000041,false,Rx,0,8,89,00,01,4C,00,00,00,00,
8042913,0000000D,false,Rx,0,8,ED,08,03,E8,03,E8,00,00,
8043146,000002C1,false,Rx,0,8,00,00,28,01,03,E8,50,00,
8045602,000000A3,false,Rx,0,8,AF,07,00,00,00,00,00,00,
8045715,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8045989,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
8046218,00000088,false,Rx,0,8,F6,0B,01,C1,C5,66,C6,D0,
8046462,0000008A,false,Rx,0,8,00,00,03,96,02,93,00,00,
8046685,0000008C,false,Rx,0,8,94,0B,01,51,3A,83,8C,12,
8046942,0000008E,false,Rx,0,8,00,01,03,FF,00,00,00,7C,
8047187,00000090,false,Rx,0,8,00,00,01,A2,00,00,00,00,
8047421,00000096,false,Rx,0,8,07,1B,01,A0,00,00,00,00,
8047678,00000098,false,Rx,0,8,5C,4B,00,00,07,E8,03,E8,
8047907,00000013,false,Rx,0,8,0C,F2,00,00,00,00,00,00,
8048169,00000036,false,Rx,0,8,07,33,00,00,00,00,00,00,
8048408,00000050,false,Rx,0,8,35,01,09,80,00,80,B4,50,
8048653,00000084,false,Rx,0,8,1F,5A,79,00,00,00,00,00,
8048889,000000AA,false,Rx,0,8,70,0E,00,FA,3F,FE,3F,FF,
8049103,000000C8,false,Rx,0,8,93,0B,00,00,00,00,7F,FD,
8049626,000000CA,false,Rx,0,8,D0,01,A1,2D,A1,80,00,22,
8049643,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8049872,00000044,false,Rx,0,8,61,36,0E,2D,FF,46,00,00,
8050093,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8050569,000000A2,false,Rx,0,8,55,07,00,00,00,00,24,09,
8050585,000000DB,false,Rx,0,8,00,54,00,00,01,A6,00,00,
8051154,000000EA,false,Rx,0,8,76,5B,00,00,00,00,00,00,
8051171,00000143,false,Rx,0,8,EF,0B,01,A1,43,40,01,A6,
8051308,0000015B,false,Rx,0,8,00,08,00,01,00,6C,00,96,
8051530,000002DD,false,Rx,0,8,AC,0D,FF,40,0F,FC,00,00,
8052663,00000041,false,Rx,0,8,06,01,01,4C,00,00,00,00,
8052919,0000000D,false,Rx,0,8,87,09,03,E8,03,E8,00,00,
8053149,00000067,false,Rx,0,8,F1,30,00,00,00,00,00,00,
8054652,00000104,false,Rx,0,8,00,00,00,00,00,00,00,00,
8054907,0000029E,false,Rx,0,8,00,00,00,00,00,00,00,00,
8055155,00000115,false,Rx,0,8,00,00,00,00,00,00,01,00,
8055391,00000183,false,Rx,0,8,0A,0A,00,5A,40,00,00,8C,
8055632,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8055889,000000A3,false,Rx,0,8,14,08,00,00,00,00,00,00,
8056128,000001A3,false,Rx,0,8,00,00,00,78,82,01,00,91,
8056368,000002E2,false,Rx,0,8,01,0A,0A,5A,00,00,00,8C,
8056614,000002E3,false,Rx,0,8,00,00,00,00,00,00,00,00,
8056873,000002E4,false,Rx,0,8,00,00,00,00,00,00,00,00,
8057076,00000316,false,Rx,0,8,00,00,00,00,64,64,64,64,
8057345,00000317,false,Rx,0,8,00,00,00,00,00,5A,8C,88,
8057584,0000031A,false,Rx,0,8,00,00,00,00,00,02,62,E9,
8057884,00000013,false,Rx,0,8,91,F3,00,00,00,00,00,00,
8058070,000000AA,false,Rx,0,8,2D,0F,00,FA,3F,FE,3F,FF,
8058310,000002DD,false,Rx,0,8,66,0E,FF,40,0F,FC,00,00,
8058550,00000348,false,Rx,0,8,00,00,00,00,64,64,64,64,
8058789,00000349,false,Rx,0,8,00,00,00,00,00,5A,8C,88,
8059062,000001A1,false,Rx,0,8,6C,03,26,00,02,82,02,00,
8059354,00000092,false,Rx,0,8,8C,04,00,00,10,00,28,00,
8059587,00000044,false,Rx,0,8,42,37,0E,92,FF,45,00,00,
8059883,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
8060093,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
8060333,000000A2,false,Rx,0,8,EE,08,00,00,00,00,24,09,
8060584,000000A4,false,Rx,0,8,00,00,00,00,27,FE,10,00,
8060884,000000A8,false,Rx,0,8,ED,04,00,00,00,00,00,00,
8061462,00000072,false,Rx,0,8,00,00,00,00,05,9D,01,A4,
8061707,000000E8,false,Rx,0,8,00,00,03,9C,00,14,00,00,
8062673,00000041,false,Rx,0,8,8A,02,01,4C,00,00,00,00,
8063110,0000000D,false,Rx,0,8,39,0A,03,E8,03,E8,00,00,
8065746,000000A3,false,Rx,0,8,09,09,00,00,00,00,00,00,
8065762,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
8065958,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
8066188,00000088,false,Rx,0,8,25,0D,01,C1,C5,66,C6,D0,
8066445,0000008A,false,Rx,0,8,00,00,03,96,02,93,00,00,
8066678,0000008C,false,Rx,0,8,47,0D,01,51,3A,83,8C,12,
8066925,0000008E,false,Rx,0,8,00,01,03,FF,00,00,00,7C,
8067155,00000090,false,Rx,0,8,00,00,01,A2,00,00,00,00,
8067409,00000096,false,Rx,0,8,8D,1C,01,A0,00,00,00,00,
8067648,00000098,false,Rx,0,8,E9,4D,00,00,07,E8,03,E8,
8067996,00000013,false,Rx,0,8,65,F4,00,00,00,00,00,00,
8068158,00000036,false,Rx,0,8,FE,34,00,00,00,00,00,00,
8068446,00000050,false,Rx,0,8,8B,02,09,80,00,80,B4,50,
8068619,00000011,false,Rx,0,8,A6,E8,0C,C4,00,00,00,00,
8068884,00000084,false,Rx,0,8,82,5B,79,00,00,00,00,00,
