Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6394789,0000019A,false,Rx,0,8,A5,00,01,A2,00,00,00,00,
6394994,000002F2,false,Rx,0,8,5A,0C,01,1D,45,00,00,00,
6395263,00000013,false,Rx,0,8,4C,08,00,00,C0,00,00,00,
6395509,00000036,false,Rx,0,8,89,38,00,00,00,00,00,00,
6395748,00000050,false,Rx,0,8,28,08,09,80,00,80,B4,50,
6395994,00000011,false,Rx,0,8,BE,EB,0C,00,00,00,00,00,
6396232,00000044,false,Rx,0,8,2D,3B,07,C6,FF,4F,00,00,
6396480,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
6396723,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
6396975,00000084,false,Rx,0,8,AD,56,39,00,00,00,00,00,
6397207,00000088,false,Rx,0,8,8A,01,01,C1,C5,66,C8,98,
6397447,0000008A,false,Rx,0,8,00,00,03,96,02,39,00,00,
6397670,0000008C,false,Rx,0,8,F6,01,01,51,3C,5D,90,49,
6397927,0000008E,false,Rx,0,8,00,00,03,FF,00,00,00,45,
6398172,00000090,false,Rx,0,8,00,00,01,A2,00,00,00,00,
6398418,00000098,false,Rx,0,8,9E,41,00,00,07,E8,03,E8,
6398658,000000A2,false,Rx,0,8,D4,0A,00,00,00,00,24,09,
6398899,000000AA,false,Rx,0,8,2C,01,00,FA,3F,FE,3F,FF,
6399231,000000C8,false,Rx,0,8,9F,01,00,06,00,06,7F,FD,
6399383,00000096,false,Rx,0,8,9F,16,01,A1,00,00,00,00,
6399611,000000CA,false,Rx,0,8,59,01,A2,05,A1,80,00,2B,
6399840,000000EC,false,Rx,0,8,00,00,01,4F,01,E1,8A,8B,
6400167,000000EF,false,Rx,0,8,00,00,0E,4F,F4,00,00,00,
6400335,00000041,false,Rx,0,8,46,08,00,00,00,00,00,00,
6400587,0000000D,false,Rx,0,8,E6,0F,03,E8,03,E8,00,00,
6400827,00000067,false,Rx,0,8,74,3D,00,00,00,00,00,00,
6401081,000000F7,false,Rx,0,8,01,A6,00,00,00,00,00,00,
6401304,00000146,false,Rx,0,8,00,4E,02,B7,03,49,00,00,
6401560,000000FB,false,Rx,0,8,00,03,00,00,00,00,00,00,
6401824,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
6402054,000000A3,false,Rx,0,8,33,0B,00,00,00,00,00,00,
6402310,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
6402534,000000DB,false,Rx,0,8,00,5E,00,00,01,A6,00,00,
6402778,00000143,false,Rx,0,8,6A,06,01,A1,4D,40,01,A6,
6402997,00000148,false,Rx,0,8,00,00,00,81,C8,82,80,81,
6403257,00000147,false,Rx,0,8,00,00,00,00,00,00,01,A6,
6403508,0000014C,false,Rx,0,8,00,00,10,68,0F,1A,0F,24,
6403760,0000014E,false,Rx,0,8,00,00,00,00,00,00,00,00,
6404006,00000072,false,Rx,0,8,00,00,00,00,05,9D,01,A5,
6404244,0000015B,false,Rx,0,8,00,08,00,01,00,6C,00,96,
6404491,00000171,false,Rx,0,8,00,00,07,7F,24,00,00,00,
6404730,000002DD,false,Rx,0,8,69,02,FF,40,0F,FC,00,00,
6404970,00000310,false,Rx,0,8,05,17,06,DA,06,DA,00,1F,
6405215,00000013,false,Rx,0,8,D1,09,00,00,C0,00,00,00,
6405438,000000AA,false,Rx,0,8,CB,02,00,FA,3F,FE,3F,FF,
6405701,000002DD,false,Rx,0,8,2F,03,FF,40,0F,FC,00,00,
6405935,000000A2,false,Rx,0,8,C9,0B,00,00,00,00,24,09,
6406179,00000044,false,Rx,0,8,58,3C,08,29,FF,4F,00,00,
6406431,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
6406683,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
6406904,00000092,false,Rx,0,8,4E,07,00,06,10,00,28,00,
6407281,000000A4,false,Rx,0,8,00,00,00,00,27,FE,10,00,
6407374,000000A8,false,Rx,0,8,32,07,00,07,00,00,00,00,
6407623,00000177,false,Rx,0,8,41,43,00,00,4A,00,43,69,
6407875,00000205,false,Rx,0,8,B9,05,1B,FF,3F,FF,3F,FE,
6408167,00000318,false,Rx,0,8,00,00,00,00,05,19,01,0A,
6410159,00000041,false,Rx,0,8,C9,09,00,00,00,00,00,00,
6410319,0000000D,false,Rx,0,8,9A,00,03,E8,03,E8,00,00,
6411192,000001D3,false,Rx,0,8,00,00,00,00,00,00,00,00,
6411437,000001D1,false,Rx,0,8,00,00,7F,7F,7F,7F,FF,C0,
6411683,000000A3,false,Rx,0,8,60,0C,00,00,00,00,00,00,
6411922,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
6412173,000001D2,false,Rx,0,8,00,00,00,00,00,00,00,00,
6412424,000001D4,false,Rx,0,8,00,00,00,00,00,00,00,00,
6415206,00000013,false,Rx,0,8,6B,0A,00,00,C0,00,00,00,
6415317,00000036,false,Rx,0,8,C5,39,00,00,00,00,00,00,
6415588,00000050,false,Rx,0,8,42,09,09,80,00,80,B4,50,
6415833,00000084,false,Rx,0,8,30,57,39,00,00,00,00,00,
6416073,00000044,false,Rx,0,8,48,3D,08,8E,FF,4F,00,00,
6416318,00000063,false,Rx,0,8,00,00,00,00,00,00,00,00,
6416574,00000065,false,Rx,0,8,00,00,00,00,00,00,00,00,
6416797,000000A2,false,Rx,0,8,9A,0C,00,00,00,00,24,09,
6417047,00000088,false,Rx,0,8,30,03,01,C1,C5,66,C8,98,
6417285,0000008A,false,Rx,0,8,00,00,03,96,02,39,00,00,
6417513,0000008C,false,Rx,0,8,4C,03,01,51,3C,5D,90,49,
6417765,0000008E,false,Rx,0,8,00,00,03,FF,00,00,00,45,
6418011,00000090,false,Rx,0,8,00,00,01,A2,00,00,00,00,
6418250,00000098,false,Rx,0,8,06,43,00,00,07,E8,03,E8,
6418490,000000AA,false,Rx,0,8,96,03,00,FA,3F,FE,3F,FF,
6418720,000000C8,false,Rx,0,8,25,03,00,06,00,06,7F,FD,
6418980,000000CA,false,Rx,0,8,2E,01,A2,0D,A1,80,00,2B,
6419197,000000EA,false,Rx,0,8,2C,53,00,00,00,00,00,00,
6419454,00000096,false,Rx,0,8,10,17,01,A1,00,00,00,00,
6419705,00000104,false,Rx,0,8,00,00,00,00,00,00,00,00,
6420017,00000109,false,Rx,0,8,00,00,00,00,00,0D,00,01,
6420187,00000041,false,Rx,0,8,45,0A,00,00,00,00,00,00,
6420442,0000000D,false,Rx,0,8,F0,01,03,E8,03,E8,00,00,
6420696,00000067,false,Rx,0,8,F8,3E,00,00,00,00,00,00,
6420941,00000115,false,Rx,0,8,00,00,00,00,00,00,01,00,
6421185,00000143,false,Rx,0,8,E5,07,01,A1,4D,40,01,A6,
6421425,00000183,false,Rx,0,8,0A,0A,00,5A,40,00,00,8C,
6421659,000001A3,false,Rx,0,8,00,00,00,78,82,01,00,8A,
6421892,000000A3,false,Rx,0,8,7D,0D,00,00,00,00,00,00,
6422167,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
6422383,000000D9,false,Rx,0,8,00,00,09,A6,01,01,00,00,
6422629,000000DB,false,Rx,0,8,00,5F,00,00,01,A6,00,00,
6422868,000000DD,false,Rx,0,8,00,0A,00,0A,FE,0B,03,E6,
6423161,0000015B,false,Rx,0,8,00,08,00,01,00,6C,00,96,
6423353,00000207,false,Rx,0,8,49,00,00,00,00,00,1C,8F,
6423599,00000072,false,Rx,0,8,00,00,00,00,05,9D,01,A5,
6423858,000000E8,false,Rx,0,8,00,00,03,A4,00,14,00,00,
6424097,000001A1,false,Rx,0,8,6F,01,26,00,02,82,02,00,
