Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1725172529967471,00000491,false,Rx,0,8,00,00,00,00,00,00,00,0A,
-1725172529967955,00000594,false,Rx,0,8,68,42,68,42,80,6B,01,20,
-1725172529966481,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
-1725172529965760,00000542,false,Rx,0,8,6E,0C,00,00,00,00,FF,FF,
-1725172529965269,00000596,false,Rx,0,8,00,77,00,00,00,00,0A,0C,
-1725172529963780,000005A3,false,Rx,0,8,0F,00,00,00,00,00,00,00,
-1725172529963541,000005D5,false,Rx,0,8,00,00,00,A0,C8,A0,00,04,
-1725172529963302,000005D6,false,Rx,0,8,B9,B9,00,00,0A,0C,00,AA,
-1725172529962823,000005D8,false,Rx,0,8,80,6E,04,00,00,00,36,0E,
-1725172529967226,00000493,false,Rx,0,8,00,0B,80,69,00,00,00,00,
-1725172529966973,00000497,false,Rx,0,8,11,00,00,00,00,00,00,00,
-1725172529966735,00000498,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529966242,000004DE,false,Rx,0,8,00,F1,0A,00,F1,C0,1E,00,
-1725172529966000,000004E2,false,Rx,0,8,00,00,00,00,00,00,C1,1E,
-1725172529965523,00000595,false,Rx,0,8,0A,00,B9,B9,00,00,36,0E,
-1725172529965027,00000597,false,Rx,0,8,81,00,00,00,00,00,00,00,
-1725172529964772,00000598,false,Rx,0,8,00,00,00,00,00,00,F1,12,
-1725172529964532,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
-1725172529964276,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529967723,000003F6,false,Rx,0,8,18,00,00,00,00,00,00,00,
-1725172529964034,0000059E,false,Rx,0,8,00,00,00,00,36,0E,00,00,
-1725172529963062,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1725172529867984,00000594,false,Rx,0,8,4A,42,4A,42,A0,6B,01,20,
-1725172529867745,00000491,false,Rx,0,8,00,00,00,00,00,00,00,0A,
-1725172529867491,00000493,false,Rx,0,8,00,0B,80,69,72,00,00,00,
-1725172529867247,000004DD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529867009,000004DE,false,Rx,0,8,00,F1,0A,00,F1,C5,1D,00,
-1725172529866771,000004E2,false,Rx,0,8,00,00,00,00,00,00,C0,9D,
-1725172529866517,00000542,false,Rx,0,8,6E,0C,00,00,00,00,FF,FF,
-1725172529866278,00000595,false,Rx,0,8,0A,00,B9,B9,00,00,34,0E,
-1725172529866050,00000596,false,Rx,0,8,25,77,00,00,00,00,0A,0C,
-1725172529865796,00000597,false,Rx,0,8,09,00,00,00,00,00,00,80,
-1725172529865559,00000598,false,Rx,0,8,00,00,00,00,00,00,F1,12,
-1725172529865305,00000599,false,Rx,0,8,08,80,00,00,00,00,00,80,
-1725172529865048,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529864810,0000059E,false,Rx,0,8,00,00,00,00,34,0E,00,00,
-1725172529864557,000005A3,false,Rx,0,8,0F,00,00,00,00,00,00,00,
-1725172529864316,000005D5,false,Rx,0,8,00,00,00,A0,C8,A0,00,04,
-1725172529864091,000005D6,false,Rx,0,8,B9,B9,00,00,0A,0C,00,57,
-1725172529863837,000005D7,false,Rx,0,8,02,24,00,00,00,00,00,00,
-1725172529863598,000005D8,false,Rx,0,8,A0,6E,04,00,00,00,34,0E,
-1725172529768005,00000594,false,Rx,0,8,2C,42,2C,42,A0,6B,01,20,
-1725172529767751,00000491,false,Rx,0,8,00,00,00,00,00,00,00,0A,
-1725172529767512,00000493,false,Rx,0,8,00,0B,80,69,72,00,00,00,
-1725172529767253,000004DD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529767031,000004DE,false,Rx,0,8,00,F1,0A,00,F1,C5,1D,00,
-1725172529766775,000004E2,false,Rx,0,8,00,00,00,00,00,00,C0,9D,
-1725172529766537,00000542,false,Rx,0,8,6E,0C,00,00,00,00,FF,FF,
-1725172529766298,00000595,false,Rx,0,8,0A,00,B9,B9,00,00,35,0E,
-1725172529766055,00000596,false,Rx,0,8,2D,77,00,00,00,00,0A,0C,
-1725172529765817,00000597,false,Rx,0,8,89,00,00,00,00,00,00,80,
-1725172529765578,00000598,false,Rx,0,8,00,00,00,00,00,00,F1,12,
-1725172529765325,00000599,false,Rx,0,8,08,80,00,00,00,00,00,80,
-1725172529765069,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529764831,0000059E,false,Rx,0,8,00,00,00,00,35,0E,00,00,
-1725172529764578,000005A3,false,Rx,0,8,0F,00,00,00,00,00,00,00,
-1725172529764339,000005D5,false,Rx,0,8,00,00,00,A0,C8,A0,00,04,
-1725172529764115,000005D6,false,Rx,0,8,B9,B9,00,00,0A,0C,25,57,
-1725172529763862,000005D7,false,Rx,0,8,02,24,00,00,00,00,00,00,
-1725172529763624,000005D8,false,Rx,0,8,A0,6E,04,00,00,00,35,0E,
-1725172529668014,00000594,false,Rx,0,8,0E,42,0E,42,A0,6B,01,20,
-1725172529667762,00000491,false,Rx,0,8,00,00,00,00,00,00,00,0A,
-1725172529667524,00000493,false,Rx,0,8,00,0B,80,69,72,00,00,00,
-1725172529667282,000004DD,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1725172529667044,000004DE,false,Rx,0,8,00,F1,0A,00,F1,C5,1D,00,
-1725172529666790,000004E2,false,Rx,0,8,00,00,00,00,00,00,C0,9D,
-1725172529666553,00000542,false,Rx,0,8,6E,0C,00,00,00,00,FF,FF,
-1725172529666314,00000595,false,Rx,0,8,0A,00,B9,B9,00,00,35,0E,
-1725172529666072,00000596,false,Rx,0,8,9D,77,00,00,00,00,0A,0C,
-1725172529665833,00000597,false,Rx,0,8,09,00,00,00,00,00,00,80,
-1725172529665579,00000598,false,Rx,0,8,00,00,00,00,00,00,F1,12,
-1725172529665341,00000599,false,Rx,0,8,08,80,00,00,00,00,00,80,
-1725172529665085,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
