Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
13,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
16,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
19,362,FALSE,0,8,2,1,0,0,0,0,0,0,
22,668,FALSE,0,8,2,4B,4D,E6,61,0,0,0,
25,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
29,362,FALSE,0,8,2,1,0,0,0,0,0,0,
32,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
35,75B,FALSE,0,8,39,0,39,0,36,4A,A0,39,
39,362,FALSE,0,8,2,1,0,0,0,0,0,0,
43,29A,FALSE,0,8,0,4A,4D,41,58,44,47,47,
46,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
49,362,FALSE,0,8,2,1,0,0,0,0,0,0,
52,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
56,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
59,362,FALSE,0,8,2,1,0,0,0,0,0,0,
62,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
65,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
68,287,FALSE,0,8,27,10,27,10,27,10,0,0,
72,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
75,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
79,362,FALSE,0,8,2,1,0,0,0,0,0,0,
81,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
86,288,FALSE,0,8,27,10,4E,20,D,45,1,10,
89,362,FALSE,0,8,2,1,0,0,0,0,0,0,
92,732,FALSE,0,8,3,E8,3,E8,64,64,7,C7,
96,371,FALSE,0,8,3C,0,0,0,0,0,0,0,
99,362,FALSE,0,8,2,1,0,0,0,0,0,0,
101,289,FALSE,0,8,27,10,4E,20,D,47,11,10,
105,564,FALSE,0,8,22,8A,AA,AA,A8,A0,AA,8A,
109,373,FALSE,0,8,C5,C5,7F,50,C,B9,80,17,
112,567,FALSE,0,8,AA,2,0,0,80,AA,0,0,
115,56B,FALSE,0,8,AA,2,0,0,80,AA,0,0,
119,362,FALSE,0,8,2,1,0,0,0,0,0,0,
122,56D,FALSE,0,8,2A,0,0,20,0,0,28,8A,
125,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
130,362,FALSE,0,8,2,1,0,0,0,0,0,0,
132,733,FALSE,0,8,39,39,39,39,36,8A,A0,39,
136,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
140,362,FALSE,0,8,2,1,0,0,0,0,0,0,
143,29A,FALSE,0,8,1,32,57,48,5A,30,30,32,
146,28B,FALSE,0,8,27,10,4E,20,D,45,1,14,
150,38A,FALSE,0,8,40,3C,0,0,4,0,0,0,
153,374,FALSE,0,8,CC,CF,4B,FE,48,44,3A,30,
