ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	
1	0	1	RX	565214935		0x00000603	1	0x00 	
1	0	2	RX	565214958		0x0000068c	1	0x00 	
1	0	3	RX	565214976		0x000001d4	8	0xa0 6d 00 00 42 00 50 fb 	
1	0	4	RX	565214976		0x000001f2	8	0x08 64 00 00 00 01 01 06 	
1	0	5	RX	565214976		0x000005a9	8	0xff ff fc ff ff f0 00 00 	
1	0	6	RX	565214982		0x0000054a	8	0xa0 00 70 02 00 00 00 28 	
1	0	7	RX	565214983		0x0000054b	8	0x00 08 80 00 04 00 00 00 	
1	0	8	RX	565214984		0x0000054c	8	0xff ff 00 00 00 f8 ff 00 	
1	0	9	RX	565214985		0x0000054f	8	0x14 00 00 00 07 40 00 1e 	
1	0	10	RX	565214986		0x000001d4	8	0x9c 6d 00 00 82 00 50 83 	
1	0	11	RX	565214986		0x000001f2	8	0x08 64 00 00 00 01 02 07 	
1	0	12	RX	565214986		0x0000050a	6	0x04 00 00 0e 00 20 	
1	0	13	RX	565214996		0x000001d4	8	0x9f 6d 00 00 c2 00 50 4d 	
1	0	14	RX	565214996		0x000001f2	8	0x08 64 00 00 00 01 03 08 	
1	0	15	RX	565215006		0x000001d4	8	0x9f 6d 00 00 02 00 50 81 	
1	0	16	RX	565215007		0x000001f2	8	0x08 64 00 00 00 01 00 05 	
1	0	17	RX	565215007		0x0000050b	6	0x00 00 00 c0 00 60 	
1	0	18	RX	565215007		0x0000056e	1	0x46 	
1	0	19	RX	565215009		0x0000011a	8	0x00 40 80 55 00 00 01 0d 	
1	0	20	RX	565215017		0x000001d4	8	0x9f 6d 00 00 42 06 50 3e 	
1	0	21	RX	565215017		0x000001f2	8	0x08 64 00 00 00 01 01 06 	
1	0	22	RX	565215019		0x0000011a	8	0x00 40 80 55 40 00 02 c0 	
1	0	23	RX	565215027		0x000001d4	8	0x9f 6d 00 00 82 06 70 b1 	
1	0	24	RX	565215027		0x000001f2	8	0x08 64 00 00 00 02 02 08 	
1	0	25	RX	565215029		0x0000011a	8	0x00 40 80 aa 80 00 03 d6 	
1	0	26	RX	565215037		0x000001d4	8	0x9f 6d 00 00 c2 06 70 76 	
1	0	27	RX	565215037		0x000001f2	8	0x08 64 00 00 00 02 03 09 	
1	0	28	RX	565215039		0x0000011a	8	0x00 40 80 aa c0 00 00 1b 	
1	0	29	RX	565215047		0x000001d4	8	0x9f 6d 00 00 02 06 70 ba 	
1	0	30	RX	565215048		0x000001f2	8	0x08 64 00 00 00 02 00 06 	
1	0	31	RX	565215048		0x000005b9	5	0x07 ff 07 ff 28 	
1	0	32	RX	565215049		0x0000011a	8	0x00 40 80 55 00 00 01 0d 	
1	0	33	RX	565215058		0x000001d4	8	0x9f 6d 00 00 42 06 70 7d 	
1	0	34	RX	565215058		0x000001f2	8	0x08 64 00 00 00 02 01 07 	
1	0	35	RX	565215059		0x0000011a	8	0x01 40 80 55 40 00 02 c7 	
1	0	36	RX	565215068		0x000001d4	8	0x9f 6d 00 00 82 06 70 b1 	
1	0	37	RX	565215068		0x000001f2	8	0x08 64 00 00 00 02 02 08 	
1	0	38	RX	565215068		0x0000050c	6	0x00 00 00 01 5d 5f 	
1	0	39	RX	565215069		0x000001db	8	0x7f e0 ff c6 00 00 00 de 	
1	0	40	RX	565215069		0x000001dc	8	0xff ff ff ff 1f ff fc 6b 	
1	0	41	RX	565215070		0x0000011a	8	0x01 40 80 aa 80 00 03 d1 	
