ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	Parser Name	default
1	0	26396	RX	7712780		0x00000679	1	0x00 	Default Parser	
1	0	26397	RX	7712792		0x00000605	1	0x00 	Default Parser	
1	0	26398	RX	7712803		0x00000603	1	0x00 	Default Parser	
1	0	26399	RX	7712830		0x00000390	8	0x04 00 00 00 00 80 3c 07 	Default Parser	
1	0	26400	RX	7712830		0x00000393	8	0x00 10 00 00 20 00 00 02 	Default Parser	
1	0	26401	RX	7712842		0x0000050b	7	0x00 00 00 c0 00 00 00 	Default Parser	
1	0	26402	RX	7712852		0x0000011a	8	0x10 00 00 00 00 00 00 70 	Default Parser	
1	0	26403	RX	7712852		0x000001d4	8	0x6e 6e 00 00 02 06 60 43 	Default Parser	
1	0	26404	RX	7712852		0x000001f2	8	0x00 64 04 a0 00 04 00 0e 	Default Parser	
1	0	26405	RX	7712853		0x0000054a	8	0x9e 80 70 02 00 00 00 44 	Default Parser	
1	0	26406	RX	7712853		0x00000481	2	0x2c 00 	Default Parser	
1	0	26407	RX	7712853		0x0000054b	8	0x10 88 80 00 04 00 00 00 	Default Parser	
1	0	26408	RX	7712853		0x0000054c	8	0x59 ff 00 00 00 f8 ff 00 	Default Parser	
1	0	26409	RX	7712854		0x0000054f	8	0x14 00 00 00 04 40 c1 14 	Default Parser	
1	0	26410	RX	7712862		0x0000050a	8	0x04 60 00 1f 00 21 04 00 	Default Parser	
1	0	26411	RX	7712862		0x0000011a	8	0x10 00 00 00 00 00 01 f5 	Default Parser	
1	0	26412	RX	7712862		0x000001d4	8	0x6e 6e 00 00 42 06 60 84 	Default Parser	
1	0	26413	RX	7712862		0x000001f2	8	0x00 64 04 a0 00 04 01 0f 	Default Parser	
1	0	26414	RX	7712863		0x0000050c	6	0x00 00 00 03 b2 9a 	Default Parser	
1	0	26415	RX	7712868		0x000005e3	5	0x87 00 00 00 80 	Default Parser	
1	0	26416	RX	7712872		0x0000011a	8	0x10 00 00 00 00 00 02 ff 	Default Parser	
1	0	26417	RX	7712872		0x000001d4	8	0x6e 6e 00 00 82 06 60 48 	Default Parser	
1	0	26418	RX	7712872		0x000001f2	8	0x00 64 04 a0 00 04 02 00 	Default Parser	
1	0	26419	RX	7712882		0x0000011a	8	0x10 00 00 00 00 00 03 7a 	Default Parser	
1	0	26420	RX	7712882		0x000001d4	8	0x6e 6e 00 00 c2 06 60 8f 	Default Parser	
1	0	26421	RX	7712882		0x000001f2	8	0x00 64 04 a0 00 04 03 01 	Default Parser	
1	0	26422	RX	7712887		0x00000355	8	0x00 00 00 00 00 00 40 00 	Default Parser	
1	0	26423	RX	7712892		0x0000011a	8	0x10 00 00 00 00 00 00 70 	Default Parser	
1	0	26424	RX	7712892		0x000001d4	8	0x6e 6e 00 00 02 06 60 43 	Default Parser	
1	0	26425	RX	7712892		0x000001f2	8	0x00 64 04 a0 00 04 00 0e 	Default Parser	
1	0	26426	RX	7712897		0x000005c5	8	0x44 00 00 11 00 0c 00 00 	Default Parser	
1	0	26427	RX	7712902		0x0000011a	8	0x10 00 00 00 00 00 01 f5 	Default Parser	
