ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	Parser Name	default
1	0	1	RX	7551684		0x00000679	1	0x00 	Default Parser	
1	0	2	RX	7551701		0x00000605	1	0x00 	Default Parser	
1	0	3	RX	7551708		0x00000603	1	0x00 	Default Parser	
1	0	4	RX	7551734		0x00000390	8	0x04 00 00 00 00 80 3c 07 	Default Parser	
1	0	5	RX	7551735		0x00000393	8	0x00 10 00 00 20 00 00 02 	Default Parser	
1	0	6	RX	7551751		0x0000050b	7	0x00 00 00 c0 00 00 00 	Default Parser	
1	0	7	RX	7551757		0x0000054a	8	0x9e 80 70 02 00 00 00 43 	Default Parser	
1	0	8	RX	7551757		0x00000481	2	0x2c 00 	Default Parser	
1	0	9	RX	7551757		0x0000054b	8	0x10 88 80 00 04 00 00 00 	Default Parser	
1	0	10	RX	7551758		0x0000054c	8	0x59 ff 00 00 00 f8 ff 00 	Default Parser	
1	0	11	RX	7551758		0x0000054f	8	0x14 00 00 00 04 40 c1 14 	Default Parser	
1	0	12	RX	7551761		0x0000050a	8	0x04 20 00 1f 00 21 04 00 	Default Parser	
1	0	13	RX	7551761		0x0000011a	8	0x10 00 00 00 00 00 01 f5 	Default Parser	
1	0	14	RX	7551762		0x000001d4	8	0x6e 6e 00 00 42 06 60 84 	Default Parser	
1	0	15	RX	7551762		0x000001f2	8	0x00 64 04 a0 00 04 01 87 	Default Parser	
1	0	16	RX	7551762		0x0000050c	6	0x00 00 00 01 5d 5f 	Default Parser	
1	0	17	RX	7551763		0x00000355	8	0x00 00 00 00 00 00 40 00 	Default Parser	
1	0	18	RX	7551771		0x0000011a	8	0x10 00 00 00 00 00 02 ff 	Default Parser	
1	0	19	RX	7551771		0x000001d4	8	0x6e 6e 00 00 82 06 60 48 	Default Parser	
1	0	20	RX	7551772		0x000001f2	8	0x00 64 04 a0 00 04 02 88 	Default Parser	
1	0	21	RX	7551772		0x000005c5	8	0x44 00 00 11 00 0c 00 00 	Default Parser	
1	0	22	RX	7551781		0x0000011a	8	0x10 00 00 00 00 00 03 7a 	Default Parser	
