ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	Parser Name	default
1	0	1	RX	5819103		0x0000011a	8	0x4e 40 04 aa c0 00 00 bd 	Default Parser	
1	0	2	RX	5819105		0x000001db	8	0xec 80 c3 aa 00 f6 40 f8 	Default Parser	
1	0	3	RX	5819105		0x000001dc	8	0xb4 04 af fd 0c c0 e0 94 	Default Parser	
1	0	4	RX	5819105		0x000001ed	3	0xff e0 68 	Default Parser	
1	0	5	RX	5819106		0x00000108	3	0x00 04 9b 	Default Parser	
1	0	6	RX	5819106		0x000001f2	8	0x10 64 00 7c 00 1e 02 89 	Default Parser	
1	0	7	RX	5819107		0x000001d4	8	0x88 29 22 30 87 44 81 ea 	Default Parser	
1	0	8	RX	5819108		0x000001c2	1	0x55 	Default Parser	
1	0	9	RX	5819109		0x000001da	8	0xc3 32 19 0e 0f 3d 0a ff 	Default Parser	
1	0	10	RX	5819109		0x00000120	4	0x00 c4 02 7e 	Default Parser	
1	0	11	RX	5819110		0x000001cb	7	0x00 00 00 00 60 00 11 	Default Parser	
1	0	12	RX	5819113		0x0000011a	8	0x4e 40 04 55 00 00 01 ab 	Default Parser	
1	0	13	RX	5819115		0x000001db	8	0xec 80 c3 aa 00 f6 41 7d 	Default Parser	
1	0	14	RX	5819115		0x000001dc	8	0xb4 04 af fd 01 2c cd 70 	Default Parser	
1	0	15	RX	5819115		0x000001ed	3	0xff e1 ed 	Default Parser	
1	0	16	RX	5819116		0x0000055b	8	0xe8 40 00 00 e1 40 10 5d 	Default Parser	
1	0	17	RX	5819116		0x000005bc	8	0xa4 40 f0 64 b7 01 c0 00 	Default Parser	
1	0	18	RX	5819116		0x00000108	3	0x00 05 1e 	Default Parser	
1	0	19	RX	5819116		0x000001f2	8	0x10 64 00 7c 00 1e 03 8a 	Default Parser	
1	0	20	RX	5819117		0x000001d4	8	0x88 29 22 40 c7 44 81 19 	Default Parser	
1	0	21	RX	5819117		0x00000355	8	0x0a f0 0b 27 10 00 40 00 	Default Parser	
1	0	22	RX	5819118		0x000001c2	1	0x56 	Default Parser	
1	0	23	RX	5819119		0x00000284	8	0x16 52 16 47 0a c8 fe 1b 	Default Parser	
1	0	24	RX	5819119		0x00000120	4	0x00 f8 03 c1 	Default Parser	
1	0	25	RX	5819119		0x000001da	8	0xc3 72 19 15 0f 43 0b bb 	Default Parser	
1	0	26	RX	5819119		0x0000055a	8	0x00 59 48 41 6b 00 5b 08 	Default Parser	
1	0	27	RX	5819120		0x000001cb	7	0x00 00 00 00 60 01 94 	Default Parser	
1	0	28	RX	5819123		0x0000011a	8	0x4e 40 04 55 40 00 02 66 	Default Parser	
1	0	29	RX	5819125		0x000001db	8	0xec 80 c3 aa 00 f6 42 77 	Default Parser	
1	0	30	RX	5819125		0x000001dc	8	0xb4 04 af fd 05 18 ca 1e 	Default Parser	
1	0	31	RX	5819125		0x000001ed	3	0xff e2 e7 	Default Parser	
1	0	32	RX	5819126		0x00000108	3	0x00 06 14 	Default Parser	
1	0	33	RX	5819126		0x000001f2	8	0x10 64 00 7c 00 1e 00 87 	Default Parser	
1	0	34	RX	5819127		0x000001d4	8	0x88 29 22 50 07 44 81 30 	Default Parser	
1	0	35	RX	5819128		0x000001c2	1	0x57 	Default Parser	
1	0	36	RX	5819129		0x000001da	8	0xc3 72 19 0f 0f 47 08 1b 	Default Parser	
1	0	37	RX	5819129		0x00000120	4	0x00 c4 04 6a 	Default Parser	
1	0	38	RX	5819129		0x000001cb	7	0x00 00 00 00 60 02 9e 	Default Parser	
1	0	39	RX	5819133		0x0000011a	8	0x4e 40 04 aa 80 00 03 70 	Default Parser	
1	0	40	RX	5819135		0x000001db	8	0xec 80 c3 aa 00 f6 43 f2 	Default Parser	
1	0	41	RX	5819135		0x000001dc	8	0xb4 04 af fd 08 c0 c3 3b 	Default Parser	
1	0	42	RX	5819135		0x000001ed	3	0xff e3 62 	Default Parser	
1	0	43	RX	5819136		0x00000108	3	0x00 07 91 	Default Parser	
1	0	44	RX	5819136		0x000001f2	8	0x10 64 00 7c 00 1e 01 88 	Default Parser	
1	0	45	RX	5819137		0x000001d4	8	0x88 29 22 70 47 44 81 b8 	Default Parser	
1	0	46	RX	5819138		0x000001c2	1	0x58 	Default Parser	
1	0	47	RX	5819139		0x00000284	8	0x16 69 16 69 0a d6 ff 63 	Default Parser	
1	0	48	RX	5819139		0x00000120	4	0x00 d8 05 59 	Default Parser	
