ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	Parser Name	default
1	0	21029	RX	5924899		0x000001cb	7	0x00 00 00 00 60 00 11 	Default Parser	
1	0	21030	RX	5924900		0x000001da	8	0xc5 32 18 4e 00 59 09 6b 	Default Parser	
1	0	21031	RX	5924900		0x00000120	4	0x04 44 05 b6 	Default Parser	
1	0	21032	RX	5924900		0x000001db	8	0xff 80 c5 aa 00 ff c2 8e 	Default Parser	
1	0	21033	RX	5924900		0x000001dc	8	0xb4 04 9f fd 05 18 ca e8 	Default Parser	
1	0	21034	RX	5924901		0x000001ed	3	0xff e2 e7 	Default Parser	
1	0	21035	RX	5924901		0x000004b9	1	0x40 	Default Parser	
1	0	21036	RX	5924901		0x0000011a	8	0x4e 40 04 aa c0 00 00 bd 	Default Parser	
1	0	21037	RX	5924902		0x000001f2	8	0x10 64 00 7c 00 1e 01 88 	Default Parser	
1	0	21038	RX	5924903		0x000001d4	8	0x88 88 0a 20 47 44 01 69 	Default Parser	
1	0	21039	RX	5924903		0x00000108	3	0x00 05 1e 	Default Parser	
1	0	21040	RX	5924903		0x000003b8	5	0x7f cb c9 17 ff 	Default Parser	
1	0	21041	RX	5924903		0x0000050a	8	0x85 f2 a0 1a 80 21 04 12 	Default Parser	
1	0	21042	RX	5924904		0x0000050b	7	0x05 07 06 c0 00 00 00 	Default Parser	
1	0	21043	RX	5924905		0x000001c2	1	0x50 	Default Parser	
1	0	21044	RX	5924909		0x000001cb	7	0x00 00 00 00 60 01 94 	Default Parser	
1	0	21045	RX	5924910		0x000001da	8	0xc5 32 18 4c 00 5b 0a e6 	Default Parser	
1	0	21046	RX	5924910		0x00000120	4	0x04 3c 06 c8 	Default Parser	
1	0	21047	RX	5924910		0x000001db	8	0xff 80 c5 aa 00 ff c3 0b 	Default Parser	
1	0	21048	RX	5924911		0x000001dc	8	0xb4 04 9f fd 08 c0 c3 cd 	Default Parser	
1	0	21049	RX	5924911		0x000001ed	3	0xff e3 62 	Default Parser	
1	0	21050	RX	5924911		0x0000055b	8	0xe7 80 00 00 e1 40 13 19 	Default Parser	
1	0	21051	RX	5924911		0x000005bc	8	0xbb 80 e3 64 b6 11 e0 00 	Default Parser	
