ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	Parser Name	default
1	0	1	RX	8949243		0x00000605	1	0x00 	Default Parser	
1	0	2	RX	8949249		0x00000679	1	0x00 	Default Parser	
1	0	3	RX	8949254		0x00000607	1	0x00 	Default Parser	
1	0	4	RX	8949266		0x00000603	1	0x00 	Default Parser	
1	0	5	RX	8949293		0x0000050b	7	0x00 00 00 c0 00 00 00 	Default Parser	
1	0	6	RX	8949299		0x00000390	8	0x04 00 01 00 00 00 3c 00 	Default Parser	
1	0	7	RX	8949300		0x000001cb	7	0x00 09 ff ce 10 8b e7 	Default Parser	
1	0	8	RX	8949302		0x000001f2	8	0x00 64 04 a0 00 02 02 0e 	Default Parser	
1	0	9	RX	8949302		0x000001d4	8	0x88 88 00 00 82 06 e0 4a 	Default Parser	
1	0	10	RX	8949304		0x00000393	8	0x00 10 00 00 00 00 00 00 	Default Parser	
1	0	11	RX	8949304		0x0000011a	8	0x01 40 80 aa 80 00 03 d1 	Default Parser	
1	0	12	RX	8949307		0x000005c5	8	0x40 01 2f 68 00 00 00 00 	Default Parser	
1	0	13	RX	8949310		0x000001cb	7	0x00 09 ff ce 10 88 ed 	Default Parser	
1	0	14	RX	8949311		0x000004b9	1	0x43 	Default Parser	
1	0	15	RX	8949312		0x000001f2	8	0x00 64 04 a0 00 04 03 01 	Default Parser	
1	0	16	RX	8949312		0x000001d4	8	0x88 88 00 00 c2 06 e0 8d 	Default Parser	
1	0	17	RX	8949313		0x000003b8	5	0x7f c8 00 07 ff 	Default Parser	
1	0	18	RX	8949313		0x0000050a	8	0x04 a0 00 17 00 21 04 12 	Default Parser	
1	0	19	RX	8949313		0x0000050b	7	0x00 00 00 c0 00 00 00 	Default Parser	
1	0	20	RX	8949314		0x0000011a	8	0x01 40 80 aa c0 00 00 1c 	Default Parser	
1	0	21	RX	8949316		0x0000054a	8	0xa0 80 70 02 00 00 00 39 	Default Parser	
1	0	22	RX	8949317		0x00000481	2	0x00 00 	Default Parser	
1	0	23	RX	8949317		0x0000054b	8	0x10 88 80 00 04 00 00 00 	Default Parser	
1	0	24	RX	8949317		0x0000054c	8	0x59 ff 00 00 00 f8 ff 00 	Default Parser	
1	0	25	RX	8949317		0x0000054f	8	0x50 00 00 00 04 40 01 28 	Default Parser	
1	0	26	RX	8949320		0x000001cb	7	0x00 09 ff ce 10 89 68 	Default Parser	
1	0	27	RX	8949322		0x000001f2	8	0x00 64 04 a0 00 04 00 0e 	Default Parser	
1	0	28	RX	8949322		0x000001d4	8	0x88 88 00 00 02 06 e0 41 	Default Parser	
1	0	29	RX	8949324		0x0000011a	8	0x01 40 80 55 00 00 01 0a 	Default Parser	
1	0	30	RX	8949327		0x00000355	8	0x00 00 00 00 10 00 40 00 	Default Parser	
1	0	31	RX	8949330		0x000001cb	7	0x00 09 ff ce 10 8a 62 	Default Parser	
1	0	32	RX	8949332		0x000001f2	8	0x00 64 04 a0 00 04 01 0f 	Default Parser	
1	0	33	RX	8949332		0x000001d4	8	0x88 88 00 00 42 06 e0 86 	Default Parser	
1	0	34	RX	8949334		0x0000011a	8	0x01 40 80 55 40 00 02 c7 	Default Parser	
1	0	35	RX	8949340		0x000001cb	7	0x00 09 ff ce 10 8b e7 	Default Parser	
1	0	36	RX	8949340		0x000001c2	1	0x50 	Default Parser	
1	0	37	RX	8949341		0x0000056e	4	0x86 00 12 f0 	Default Parser	
1	0	38	RX	8949342		0x000001f2	8	0x00 64 04 a0 00 04 02 00 	Default Parser	
1	0	39	RX	8949342		0x000001d4	8	0x88 88 00 00 82 06 e0 4a 	Default Parser	
1	0	40	RX	8949344		0x0000011a	8	0x01 40 80 aa 80 00 03 d1 	Default Parser	
1	0	41	RX	8949350		0x000001cb	7	0x00 09 ff ce 10 88 ed 	Default Parser	
1	0	42	RX	8949350		0x000001c2	1	0x51 	Default Parser	
1	0	43	RX	8949352		0x000001f2	8	0x00 64 04 a0 00 04 03 01 	Default Parser	
1	0	44	RX	8949352		0x000001d4	8	0x88 88 00 00 c2 06 e0 8d 	Default Parser	
1	0	45	RX	8949354		0x0000011a	8	0x01 40 80 aa c0 00 00 1c 	Default Parser	
1	0	46	RX	8949360		0x000001cb	7	0x00 09 ff ce 10 89 68 	Default Parser	
1	0	47	RX	8949361		0x000001c2	1	0x52 	Default Parser	
1	0	48	RX	8949362		0x000001f2	8	0x00 64 04 a0 00 04 00 0e 	Default Parser	
1	0	49	RX	8949362		0x000001d4	8	0x88 88 00 00 02 06 e0 41 	Default Parser	
1	0	50	RX	8949364		0x0000011a	8	0x01 40 80 55 00 00 01 0a 	Default Parser	
1	0	51	RX	8949367		0x00000355	8	0x00 00 00 00 10 00 40 00 	Default Parser	
1	0	52	RX	8949369		0x00000625	6	0x02 00 ff 1d 20 00 	Default Parser	
1	0	53	RX	8949370		0x000001cb	7	0x00 09 ff ce 10 8a 62 	Default Parser	
1	0	54	RX	8949371		0x000001c2	1	0x53 	Default Parser	
1	0	55	RX	8949372		0x000001f2	8	0x00 64 04 a0 00 04 01 0f 	Default Parser	
1	0	56	RX	8949372		0x000001d4	8	0x88 88 00 00 42 06 e0 86 	Default Parser	
1	0	57	RX	8949374		0x0000011a	8	0x01 40 80 55 40 00 02 c7 	Default Parser	
1	0	58	RX	8949380		0x000001cb	7	0x00 09 ff ce 10 8b e7 	Default Parser	
1	0	59	RX	8949380		0x000001db	8	0x7f e0 ff c6 00 80 00 61 	Default Parser	
1	0	60	RX	8949381		0x000001c2	1	0x54 	Default Parser	
1	0	61	RX	8949381		0x000001dc	8	0xff ff ff ff 1f ff fc 6b 	Default Parser	
