ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	Parser Name	default
1	0	1	RX	9006942		0x00000605	1	0x00 	Default Parser	
1	0	2	RX	9006943		0x00000679	1	0x00 	Default Parser	
1	0	3	RX	9006949		0x00000607	1	0x00 	Default Parser	
1	0	4	RX	9006965		0x00000603	1	0x00 	Default Parser	
1	0	5	RX	9006992		0x0000050b	7	0x00 00 00 c0 00 00 00 	Default Parser	
1	0	6	RX	9006993		0x00000390	8	0x04 00 01 00 00 00 3c 00 	Default Parser	
1	0	7	RX	9006998		0x00000393	8	0x00 10 00 00 00 00 00 00 	Default Parser	
1	0	8	RX	9006999		0x000001cb	7	0x00 09 ff ce 10 8b e7 	Default Parser	
1	0	9	RX	9007000		0x0000011a	8	0x01 40 80 55 00 00 01 0a 	Default Parser	
1	0	10	RX	9007001		0x00000355	8	0x00 00 00 00 10 00 40 00 	Default Parser	
1	0	11	RX	9007002		0x000001f2	8	0x00 64 04 a0 00 02 03 0f 	Default Parser	
1	0	12	RX	9007002		0x000001d4	8	0x88 88 00 00 c2 06 c0 ce 	Default Parser	
1	0	13	RX	9007002		0x000005c5	8	0x40 01 2f 68 00 00 00 00 	Default Parser	
1	0	14	RX	9007009		0x000001cb	7	0x00 09 ff ce 10 88 ed 	Default Parser	
1	0	15	RX	9007010		0x0000011a	8	0x01 40 80 55 40 00 02 c7 	Default Parser	
1	0	16	RX	9007011		0x000004b9	1	0x47 	Default Parser	
1	0	17	RX	9007012		0x000001f2	8	0x00 64 04 a0 00 04 00 0e 	Default Parser	
1	0	18	RX	9007012		0x000001d4	8	0x88 88 00 00 02 06 c0 02 	Default Parser	
1	0	19	RX	9007012		0x000003b8	5	0x7f e8 09 07 ff 	Default Parser	
1	0	20	RX	9007012		0x0000050a	8	0x04 e0 00 18 00 21 04 12 	Default Parser	
1	0	21	RX	9007013		0x0000050b	7	0x00 00 00 c0 00 00 00 	Default Parser	
1	0	22	RX	9007015		0x00000625	6	0x02 00 ff 1d 20 00 	Default Parser	
1	0	23	RX	9007016		0x0000054a	8	0xa0 80 70 02 00 00 00 39 	Default Parser	
1	0	24	RX	9007016		0x00000481	2	0x00 00 	Default Parser	
1	0	25	RX	9007016		0x0000054b	8	0x10 88 80 00 04 00 00 00 	Default Parser	
1	0	26	RX	9007016		0x0000054c	8	0x59 ff 00 00 00 f8 ff 00 	Default Parser	
1	0	27	RX	9007017		0x0000054f	8	0x50 00 00 00 04 40 01 28 	Default Parser	
1	0	28	RX	9007019		0x000001cb	7	0x00 09 ff ce 10 89 68 	Default Parser	
1	0	29	RX	9007020		0x0000011a	8	0x01 40 80 aa 80 00 03 d1 	Default Parser	
1	0	30	RX	9007022		0x000001f2	8	0x00 64 04 a0 00 04 01 0f 	Default Parser	
1	0	31	RX	9007022		0x000001d4	8	0x88 88 00 00 42 06 c0 c5 	Default Parser	
1	0	32	RX	9007029		0x000001cb	7	0x00 09 ff ce 10 8a 62 	Default Parser	
1	0	33	RX	9007030		0x0000011a	8	0x01 40 80 aa c0 00 00 1c 	Default Parser	
1	0	34	RX	9007032		0x000005ec	1	0x00 	Default Parser	
1	0	35	RX	9007032		0x000001d4	8	0x88 88 00 00 82 06 c0 09 	Default Parser	
1	0	36	RX	9007032		0x000001f2	8	0x00 64 04 a0 00 04 02 00 	Default Parser	
1	0	37	RX	9007039		0x000001cb	7	0x00 09 ff ce 10 8b e7 	Default Parser	
1	0	38	RX	9007039		0x0000056e	4	0x86 00 12 f0 	Default Parser	
1	0	39	RX	9007040		0x0000011a	8	0x01 40 80 55 00 00 01 0a 	Default Parser	
1	0	40	RX	9007041		0x000001c2	1	0x50 	Default Parser	
1	0	41	RX	9007041		0x00000355	8	0x00 00 00 00 10 00 40 00 	Default Parser	
1	0	42	RX	9007042		0x000001f2	8	0x00 64 04 a0 00 04 03 01 	Default Parser	
1	0	43	RX	9007042		0x000001d4	8	0x88 88 00 00 c2 06 c0 ce 	Default Parser	
1	0	44	RX	9007049		0x000001cb	7	0x00 09 ff ce 10 88 ed 	Default Parser	
1	0	45	RX	9007050		0x0000011a	8	0x01 40 80 55 40 00 02 c7 	Default Parser	
1	0	46	RX	9007051		0x000001c2	1	0x51 	Default Parser	
1	0	47	RX	9007052		0x000001f2	8	0x00 64 04 a0 00 04 00 0e 	Default Parser	
1	0	48	RX	9007052		0x000001d4	8	0x88 88 00 00 02 06 c0 02 	Default Parser	
1	0	49	RX	9007059		0x000001cb	7	0x00 09 ff ce 10 89 68 	Default Parser	
1	0	50	RX	9007060		0x0000011a	8	0x01 40 80 aa 80 00 03 d1 	Default Parser	
1	0	51	RX	9007061		0x000001c2	1	0x52 	Default Parser	
1	0	52	RX	9007062		0x000001f2	8	0x00 64 04 a0 00 04 01 0f 	Default Parser	
1	0	53	RX	9007062		0x000001d4	8	0x88 88 00 00 42 06 c0 c5 	Default Parser	
1	0	54	RX	9007069		0x000001cb	7	0x00 09 ff ce 10 8a 62 	Default Parser	
1	0	55	RX	9007070		0x0000011a	8	0x01 40 80 aa c0 00 00 1c 	Default Parser	
1	0	56	RX	9007071		0x000001c2	1	0x53 	Default Parser	
1	0	57	RX	9007072		0x000001f2	8	0x00 64 04 a0 00 04 02 00 	Default Parser	
1	0	58	RX	9007072		0x000001d4	8	0x88 88 00 00 82 06 c0 09 	Default Parser	
1	0	59	RX	9007074		0x000001db	8	0x7f e0 ff c6 00 80 00 61 	Default Parser	
1	0	60	RX	9007074		0x000001dc	8	0xff ff ff ff 1f ff fc 6b 	Default Parser	
1	0	61	RX	9007075		0x000001ed	3	0xff e0 68 	Default Parser	
1	0	62	RX	9007079		0x000001cb	7	0x00 09 ff ce 10 8b e7 	Default Parser	
1	0	63	RX	9007080		0x0000011a	8	0x01 40 80 55 00 00 01 0a 	Default Parser	
1	0	64	RX	9007081		0x00000355	8	0x00 00 00 00 10 00 40 00 	Default Parser	
1	0	65	RX	9007081		0x000001c2	1	0x54 	Default Parser	
1	0	66	RX	9007082		0x000001f2	8	0x00 64 04 a0 00 04 03 01 	Default Parser	
1	0	67	RX	9007082		0x000001d4	8	0x88 88 00 00 c2 06 c0 ce 	Default Parser	
1	0	68	RX	9007084		0x000001db	8	0x00 00 ff c6 00 00 01 91 	Default Parser	
1	0	69	RX	9007084		0x000001dc	8	0xff ff ff ff 01 2c cd 58 	Default Parser	
1	0	70	RX	9007085		0x000001ed	3	0xff e1 ed 	Default Parser	
1	0	71	RX	9007089		0x000001cb	7	0x00 09 ff ce 10 80 5e 	Default Parser	
1	0	72	RX	9007090		0x0000011a	8	0x01 40 80 55 40 00 02 c7 	Default Parser	
1	0	73	RX	9007091		0x000001c2	1	0x55 	Default Parser	
1	0	74	RX	9007092		0x000001f2	8	0x00 64 04 a0 00 04 00 0e 	Default Parser	
1	0	75	RX	9007092		0x000001d4	8	0x88 88 00 00 02 06 c1 87 	Default Parser	
1	0	76	RX	9007093		0x00000390	8	0x04 00 01 00 00 00 3c 11 	Default Parser	
1	0	77	RX	9007094		0x000001db	8	0x00 00 ff c6 00 00 02 9b 	Default Parser	
1	0	78	RX	9007095		0x000001dc	8	0xff ff ff ff 05 18 ca 36 	Default Parser	
1	0	79	RX	9007095		0x000001ed	3	0xff e2 e7 	Default Parser	
1	0	80	RX	9007098		0x00000393	8	0x00 10 00 00 00 00 00 11 	Default Parser	
1	0	81	RX	9007099		0x000001cb	7	0x00 09 ff ce 10 81 db 	Default Parser	
1	0	82	RX	9007100		0x0000011a	8	0x01 40 80 aa 80 00 03 d1 	Default Parser	
1	0	83	RX	9007101		0x000001c2	1	0x56 	Default Parser	
1	0	84	RX	9007102		0x000001f2	8	0x00 64 04 a0 00 04 01 0f 	Default Parser	
1	0	85	RX	9007102		0x000001d4	8	0x88 88 00 00 42 06 c1 40 	Default Parser	
1	0	86	RX	9007102		0x000005c5	8	0x40 01 2f 68 00 00 00 00 	Default Parser	
1	0	87	RX	9007104		0x000001db	8	0x00 00 ff c6 00 00 03 1e 	Default Parser	
1	0	88	RX	9007105		0x000001dc	8	0xff ff ff ff 08 c0 c3 13 	Default Parser	
1	0	89	RX	9007105		0x000001ed	3	0xff e3 62 	Default Parser	
1	0	90	RX	9007109		0x000001cb	7	0x00 09 ff ce 10 82 d1 	Default Parser	
1	0	91	RX	9007110		0x0000011a	8	0x01 40 84 aa c0 00 00 ca 	Default Parser	
1	0	92	RX	9007111		0x000004b9	1	0x48 	Default Parser	
1	0	93	RX	9007111		0x000001c2	1	0x57 	Default Parser	
1	0	94	RX	9007112		0x000001f2	8	0x00 64 04 a0 00 04 02 00 	Default Parser	
1	0	95	RX	9007112		0x000001d4	8	0x88 88 00 00 82 06 c1 8c 	Default Parser	
1	0	96	RX	9007112		0x000003b8	5	0x7f c8 09 07 ff 	Default Parser	
1	0	97	RX	9007112		0x0000050a	8	0x04 80 00 18 00 21 04 12 	Default Parser	
