Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1688467643383897,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467643373880,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467643363869,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467643355760,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467643350761,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467643345750,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467643340739,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467643333862,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467643323844,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467643314866,00000102,false,Rx,0,8,02,9A,01,73,00,81,8F,00,
-1688467643303801,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467643294827,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467643284796,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467643274797,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467643264788,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467643255708,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467643250712,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467643245700,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467643240675,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467643234759,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467643224751,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467643214763,00000102,false,Rx,0,8,02,9A,01,73,00,81,8F,00,
-1688467643203699,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467643194724,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467643184714,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467643174693,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467643164666,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467643155655,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467643150661,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467643145651,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467643140629,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467643134659,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467643124632,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467643114662,00000102,false,Rx,0,8,02,9A,01,73,00,81,8F,00,
-1688467643104638,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467643094623,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467643084589,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467643074592,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467643064584,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467643055606,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467643050611,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467643045591,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467643040579,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467643034555,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467643024549,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467643014561,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467643004518,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467642994520,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642984507,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467642974488,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467642964460,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467642955558,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467642950565,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467642945552,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467642940541,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642934449,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467642924426,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467642914459,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467642904434,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467642894417,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642884382,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467642874387,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467642440295,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642433916,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467642423910,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467642413923,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467642403876,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467642393882,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642383869,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467642373849,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467642363841,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467642355268,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467642350272,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467642345259,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467642340251,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642333814,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467642323805,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467642313821,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467642303774,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467642293778,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642283766,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467642273744,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467642263738,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467642255216,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467642250225,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467642245204,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467642240196,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642233712,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467642223705,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467642214744,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467642203668,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467642194703,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642184684,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467642174674,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467642164639,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467642155169,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467642150176,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467642145148,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467642140138,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642134654,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467642123600,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467642114641,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467642104612,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467642094600,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642084564,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467642074571,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467642064557,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467642055115,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467642050117,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467642045109,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467642040100,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467642034551,00000100,false,Rx,0,8,06,00,00,00,B3,01,FF,00,
-1688467642024534,00000101,false,Rx,0,8,00,E4,00,00,00,00,00,00,
-1688467642014537,00000102,false,Rx,0,8,02,9A,01,72,00,81,8F,00,
-1688467642004492,00000200,false,Rx,0,8,FF,00,00,00,FA,00,1A,FF,
-1688467641994497,00000110,false,Rx,0,8,01,00,00,00,00,00,00,00,
-1688467641984480,00000201,false,Rx,0,8,02,00,00,00,00,00,00,00,
-1688467641974468,00000700,false,Rx,0,8,01,02,00,00,06,00,00,00,
-1688467641964433,00000202,false,Rx,0,8,01,01,01,00,00,00,00,00,
-1688467641955065,00000108,false,Rx,0,8,00,F4,01,87,B3,01,00,00,
-1688467641950072,00000109,false,Rx,0,8,01,7B,01,64,01,05,D7,24,
-1688467641945060,00000208,false,Rx,0,8,FF,AA,00,FF,00,00,AA,00,
-1688467641940046,00000209,false,Rx,0,8,01,00,00,00,00,00,00,00,
