ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	Parser Name	default
1	0	14767	RX	1052620673		0x000001da	8	0xc8 32 18 00 00 01 01 59 	Default Parser	
1	0	14768	RX	1052620674		0x000001f2	8	0x10 64 00 b0 00 1e 00 8f 	Default Parser	
1	0	14769	RX	1052620675		0x000001d4	8	0x6e 6e 00 00 07 46 21 c0 	Default Parser	
1	0	14770	RX	1052620675		0x000001db	8	0xff e0 c8 6a 5f 00 00 84 	Default Parser	
1	0	14771	RX	1052620676		0x000001dc	8	0x6e 00 8f fd 08 c0 c3 ee 	Default Parser	
1	0	14772	RX	1052620681		0x0000011a	8	0x01 40 04 aa 80 00 03 18 	Default Parser	
1	0	14773	RX	1052620683		0x000001da	8	0xc8 32 18 00 00 01 02 53 	Default Parser	
1	0	14774	RX	1052620684		0x000001f2	8	0x10 64 00 b0 00 1e 01 80 	Default Parser	
1	0	14775	RX	1052620685		0x000001d4	8	0x6e 6e 00 00 47 46 21 07 	Default Parser	
1	0	14776	RX	1052620686		0x000001db	8	0xff e0 c8 6a 5f 00 01 01 	Default Parser	
1	0	14777	RX	1052620686		0x000001dc	8	0x6e 00 8f fd 0c c8 e4 f9 	Default Parser	
1	0	14778	RX	1052620686		0x00000284	8	0x00 00 00 00 00 00 d9 5f 	Default Parser	
1	0	14779	RX	1052620686		0x0000055b	8	0xef 40 55 00 e3 c0 10 3a 	Default Parser	
1	0	14780	RX	1052620687		0x000005bc	8	0x71 00 f0 50 bb 03 ff ff 	Default Parser	
1	0	14781	RX	1052620690		0x0000011a	8	0x01 40 04 aa c0 00 00 d5 	Default Parser	
1	0	14782	RX	1052620693		0x000001da	8	0xc8 72 18 00 00 01 03 74 	Default Parser	
1	0	14783	RX	1052620694		0x000001f2	8	0x10 64 00 b0 00 1e 02 81 	Default Parser	
1	0	14784	RX	1052620695		0x000001d4	8	0x6e 6e 00 00 87 46 21 cb 	Default Parser	
1	0	14785	RX	1052620695		0x0000050a	8	0x85 72 a0 0d 80 21 04 00 	Default Parser	
1	0	14786	RX	1052620695		0x0000050b	7	0x00 00 06 c0 00 00 00 	Default Parser	
1	0	14787	RX	1052620696		0x000001db	8	0xff e0 c8 6a 5f 00 02 0b 	Default Parser	
1	0	14788	RX	1052620696		0x0000050c	6	0x00 00 00 03 b2 9a 	Default Parser	
1	0	14789	RX	1052620696		0x000001dc	8	0x6e 00 8f fd 01 28 c5 c5 	Default Parser	
1	0	14790	RX	1052620696		0x000005a9	8	0x98 4d 80 11 43 e0 00 00 	Default Parser	
1	0	14791	RX	1052620701		0x0000011a	8	0x01 40 04 55 00 00 01 c3 	Default Parser	
1	0	14792	RX	1052620703		0x000001da	8	0xc8 72 18 00 00 01 00 7e 	Default Parser	
1	0	14793	RX	1052620704		0x000001f2	8	0x10 64 00 b0 00 1e 03 82 	Default Parser	
1	0	14794	RX	1052620705		0x000001d4	8	0x6e 6e 00 00 c7 46 21 0c 	Default Parser	
1	0	14795	RX	1052620706		0x000001db	8	0xff e0 c8 6a 5f 00 03 8e 	Default Parser	
1	0	14796	RX	1052620706		0x000001dc	8	0x6e 00 8f fd 04 e0 c6 d3 	Default Parser	
1	0	14797	RX	1052620706		0x00000284	8	0x00 00 00 00 00 00 da 60 	Default Parser	
1	0	14798	RX	1052620711		0x0000011a	8	0x01 40 04 55 40 00 02 0e 	Default Parser	
1	0	14799	RX	1052620713		0x000001da	8	0xc8 32 18 00 00 01 01 59 	Default Parser	
1	0	14800	RX	1052620714		0x000001f2	8	0x10 64 00 b0 00 1e 00 8f 	Default Parser	
1	0	14801	RX	1052620715		0x000001d4	8	0x6e 6e 00 00 07 46 21 c0 	Default Parser	
1	0	14802	RX	1052620716		0x000001db	8	0xff e0 c8 6a 5f 00 00 84 	Default Parser	
1	0	14803	RX	1052620716		0x000001dc	8	0x6e 00 8f fd 08 c0 c3 ee 	Default Parser	
1	0	14804	RX	1052620721		0x0000011a	8	0x01 40 04 aa 80 00 03 18 	Default Parser	
