ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	Parser Name	default
1	0	1	RX	873489141		0x000001da	8	0xbe 64 18 00 00 01 02 58 	Default Parser	
1	0	2	RX	873489145		0x000001db	8	0xfe c0 bd 2a 00 00 01 a1 	Default Parser	
1	0	3	RX	873489145		0x000001dc	8	0x6e 04 2f fd 01 09 0d 21 	Default Parser	
1	0	4	RX	873489148		0x0000011a	8	0x01 40 00 aa c0 00 00 03 	Default Parser	
1	0	5	RX	873489149		0x000001d4	8	0xf7 07 00 00 c7 46 30 17 	Default Parser	
1	0	6	RX	873489149		0x000001f2	8	0x10 64 00 00 00 1e 03 0f 	Default Parser	
1	0	7	RX	873489151		0x000001da	8	0xbe 64 18 00 00 01 03 dd 	Default Parser	
1	0	8	RX	873489155		0x000001db	8	0xfe c0 bd 2a 00 00 02 ab 	Default Parser	
1	0	9	RX	873489155		0x000001dc	8	0x6e 04 2f fd 04 c4 c6 cf 	Default Parser	
1	0	10	RX	873489159		0x000001d4	8	0xf7 07 00 00 07 46 30 db 	Default Parser	
1	0	11	RX	873489159		0x000001f2	8	0x10 64 00 00 00 1e 00 0c 	Default Parser	
1	0	12	RX	873489159		0x0000011a	8	0x01 40 00 55 00 00 01 15 	Default Parser	
1	0	13	RX	873489159		0x00000284	8	0x00 00 00 00 00 00 c8 4e 	Default Parser	
1	0	14	RX	873489160		0x000005b9	5	0x29 2c 52 1c 28 	Default Parser	
1	0	15	RX	873489161		0x000001da	8	0xbe 64 18 00 00 01 00 d7 	Default Parser	
1	0	16	RX	873489165		0x000001db	8	0xfe c0 bd 2a 00 00 03 2e 	Default Parser	
1	0	17	RX	873489165		0x000001dc	8	0x6e 04 2f fd 08 c0 cb 1e 	Default Parser	
1	0	18	RX	873489169		0x0000011a	8	0x01 40 00 55 40 00 02 d8 	Default Parser	
1	0	19	RX	873489169		0x000001d4	8	0xf7 07 00 00 47 46 30 1c 	Default Parser	
1	0	20	RX	873489169		0x000001f2	8	0x10 64 00 00 00 1e 01 0d 	Default Parser	
1	0	21	RX	873489171		0x000001da	8	0xbe 64 18 00 00 01 01 52 	Default Parser	
1	0	22	RX	873489175		0x000001db	8	0xfe c0 bd 2a 00 00 00 24 	Default Parser	
1	0	23	RX	873489175		0x000001dc	8	0x6e 04 2f fd 0c e4 e0 5d 	Default Parser	
1	0	24	RX	873489179		0x0000056e	1	0x46 	Default Parser	
1	0	25	RX	873489179		0x0000011a	8	0x01 40 00 aa 80 00 03 ce 	Default Parser	
1	0	26	RX	873489179		0x000001d4	8	0xf7 07 00 00 87 46 30 d0 	Default Parser	
1	0	27	RX	873489180		0x000001f2	8	0x10 64 00 00 00 1e 02 0e 	Default Parser	
1	0	28	RX	873489180		0x00000284	8	0x00 00 00 00 00 00 c9 4f 	Default Parser	
1	0	29	RX	873489180		0x0000050c	6	0x00 00 00 03 b2 9a 	Default Parser	
1	0	30	RX	873489181		0x000001da	8	0xbe 64 18 00 00 01 02 58 	Default Parser	
1	0	31	RX	873489185		0x000001db	8	0xfe c0 bd 2a 00 00 01 a1 	Default Parser	
1	0	32	RX	873489185		0x000001dc	8	0x6e 04 2f fd 01 09 0d 21 	Default Parser	
1	0	33	RX	873489188		0x0000011a	8	0x01 40 00 aa c0 00 00 03 	Default Parser	
1	0	34	RX	873489189		0x000001d4	8	0xf7 07 00 00 c7 46 30 17 	Default Parser	
1	0	35	RX	873489190		0x000001f2	8	0x10 64 00 00 00 1e 03 0f 	Default Parser	
1	0	36	RX	873489191		0x000001da	8	0xbe 64 18 00 00 01 03 dd 	Default Parser	
1	0	37	RX	873489195		0x000001db	8	0xfe c0 bd 2a 00 00 02 ab 	Default Parser	
1	0	38	RX	873489195		0x000001dc	8	0x6e 04 2f fd 04 c4 c6 cf 	Default Parser	
1	0	39	RX	873489197		0x0000054a	8	0x10 00 70 06 26 00 00 33 	Default Parser	
1	0	40	RX	873489198		0x0000054b	8	0x00 48 90 12 0c 00 00 00 	Default Parser	
1	0	41	RX	873489199		0x0000054c	8	0x8f 66 40 00 00 40 67 00 	Default Parser	
1	0	42	RX	873489199		0x0000011a	8	0x01 40 00 55 00 00 01 15 	Default Parser	
1	0	43	RX	873489200		0x0000054f	8	0x38 01 00 00 07 87 8a 48 	Default Parser	
1	0	44	RX	873489200		0x000001d4	8	0xf7 07 00 00 07 46 30 db 	Default Parser	
1	0	45	RX	873489200		0x000001f2	8	0x10 64 00 00 00 1e 00 0c 	Default Parser	
1	0	46	RX	873489200		0x00000284	8	0x00 00 00 00 00 00 ca 50 	Default Parser	
1	0	47	RX	873489201		0x0000050a	6	0x85 72 a0 14 80 20 	Default Parser	
1	0	48	RX	873489201		0x000001da	8	0xbe 64 18 00 00 01 00 d7 	Default Parser	
1	0	49	RX	873489205		0x000001db	8	0xfe c0 bd 2a 00 00 03 2e 	Default Parser	
1	0	50	RX	873489205		0x000001dc	8	0x6e 04 2f fd 08 c0 cb 1e 	Default Parser	
1	0	51	RX	873489209		0x0000011a	8	0x01 40 00 55 40 00 02 d8 	Default Parser	
1	0	52	RX	873489210		0x000001d4	8	0xf7 07 00 00 47 46 30 1c 	Default Parser	
1	0	53	RX	873489210		0x000001f2	8	0x10 64 00 00 00 1e 01 0d 	Default Parser	
1	0	54	RX	873489211		0x000001da	8	0xbe 64 18 00 00 01 01 52 	Default Parser	
1	0	55	RX	873489215		0x000001db	8	0xfe c0 bd 2a 00 00 00 24 	Default Parser	
1	0	56	RX	873489215		0x000001dc	8	0x6e 04 2f fd 0c e4 e0 5d 	Default Parser	
1	0	57	RX	873489219		0x00000380	8	0x02 04 10 21 00 00 00 af 	Default Parser	
1	0	58	RX	873489219		0x000005bf	8	0x00 00 00 00 28 00 00 3c 	Default Parser	
1	0	59	RX	873489219		0x0000011a	8	0x01 40 00 aa 80 00 03 ce 	Default Parser	
1	0	60	RX	873489220		0x000001d4	8	0xf7 07 00 00 87 46 30 d0 	Default Parser	
1	0	61	RX	873489220		0x000001f2	8	0x10 64 00 00 00 1e 02 0e 	Default Parser	
1	0	62	RX	873489221		0x00000284	8	0x00 00 00 00 00 00 cb 51 	Default Parser	
1	0	63	RX	873489221		0x0000050b	6	0x00 00 06 c0 00 60 	Default Parser	
1	0	64	RX	873489221		0x000001da	8	0xbe 64 18 00 00 01 02 58 	Default Parser	
1	0	65	RX	873489221		0x0000055a	8	0x00 3b 35 00 5f 39 5b 08 	Default Parser	
1	0	66	RX	873489225		0x000001db	8	0xfe c0 bd 2a 00 00 01 a1 	Default Parser	
1	0	67	RX	873489226		0x000001dc	8	0x6e 04 2f fd 01 09 0d 21 	Default Parser	
