ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	Parser Name	default
1	0	1	RX	1053458033		0x00000603	1	0x00 	Default Parser	
1	0	2	RX	1053458041		0x0000068c	1	0x00 	Default Parser	
1	0	3	RX	1053458074		0x000001d4	8	0xa0 6d 00 00 42 00 50 fb 	Default Parser	
1	0	4	RX	1053458074		0x000001f2	8	0x08 64 00 00 00 01 01 06 	Default Parser	
1	0	5	RX	1053458074		0x000005a9	8	0xff ff fc ff ff f0 00 00 	Default Parser	
1	0	6	RX	1053458080		0x0000054a	8	0x9e 00 70 02 00 00 00 2a 	Default Parser	
1	0	7	RX	1053458081		0x0000054b	8	0x00 08 80 00 04 00 00 00 	Default Parser	
1	0	8	RX	1053458082		0x0000054c	8	0xff ff 00 00 00 f8 ff 00 	Default Parser	
1	0	9	RX	1053458083		0x0000054f	8	0x14 00 00 00 07 40 00 1e 	Default Parser	
1	0	10	RX	1053458084		0x000001d4	8	0x9c 6d 00 00 82 00 50 83 	Default Parser	
1	0	11	RX	1053458084		0x000001f2	8	0x08 64 00 00 00 01 02 07 	Default Parser	
1	0	12	RX	1053458084		0x0000050a	6	0x04 00 00 0d 00 20 	Default Parser	
1	0	13	RX	1053458091		0x0000056e	1	0x46 	Default Parser	
1	0	14	RX	1053458094		0x000001d4	8	0x9f 6d 00 00 c2 00 50 4d 	Default Parser	
1	0	15	RX	1053458094		0x000001f2	8	0x08 64 00 00 00 01 03 08 	Default Parser	
1	0	16	RX	1053458104		0x000001d4	8	0x9f 6d 00 00 02 00 50 81 	Default Parser	
1	0	17	RX	1053458105		0x000001f2	8	0x08 64 00 00 00 01 00 05 	Default Parser	
1	0	18	RX	1053458105		0x0000050b	6	0x00 00 00 c0 00 60 	Default Parser	
1	0	19	RX	1053458109		0x0000011a	8	0x00 40 80 55 00 00 01 0d 	Default Parser	
1	0	20	RX	1053458114		0x000001db	8	0x7f e0 ff ea 00 00 00 79 	Default Parser	
1	0	21	RX	1053458115		0x000001dc	8	0xff ff ff ff 1f ff fc 6b 	Default Parser	
1	0	22	RX	1053458115		0x000001d4	8	0x9f 6d 00 00 42 06 50 3e 	Default Parser	
1	0	23	RX	1053458115		0x000001f2	8	0x08 64 00 00 00 01 01 06 	Default Parser	
1	0	24	RX	1053458119		0x0000011a	8	0x00 40 80 55 40 00 02 c0 	Default Parser	
1	0	25	RX	1053458124		0x000001db	8	0xff 80 ff ea 00 00 01 85 	Default Parser	
1	0	26	RX	1053458125		0x000001dc	8	0xff ff ff ff 04 c4 c6 71 	Default Parser	
1	0	27	RX	1053458125		0x000001d4	8	0x9f 6d 00 00 82 06 70 b1 	Default Parser	
1	0	28	RX	1053458125		0x000001f2	8	0x08 64 00 00 00 02 02 08 	Default Parser	
1	0	29	RX	1053458129		0x0000011a	8	0x00 40 80 aa 80 00 03 d6 	Default Parser	
1	0	30	RX	1053458134		0x000001db	8	0xff a0 ff ea 00 00 02 de 	Default Parser	
1	0	31	RX	1053458135		0x000001dc	8	0xff ff ff ff 08 c0 cb a0 	Default Parser	
1	0	32	RX	1053458135		0x000001d4	8	0x9f 6d 00 00 c2 06 70 76 	Default Parser	
1	0	33	RX	1053458135		0x000001f2	8	0x08 64 00 00 00 02 03 09 	Default Parser	
1	0	34	RX	1053458138		0x0000011a	8	0x00 40 80 aa c0 00 00 1b 	Default Parser	
1	0	35	RX	1053458144		0x000001db	8	0xff 80 ff ea 00 00 03 0a 	Default Parser	
1	0	36	RX	1053458144		0x000001dc	8	0xff ff ff ff 0c e4 e0 e3 	Default Parser	
1	0	37	RX	1053458145		0x000001d4	8	0x9f 6d 00 00 02 06 70 ba 	Default Parser	
1	0	38	RX	1053458146		0x000001f2	8	0x08 64 00 00 00 02 00 06 	Default Parser	
1	0	39	RX	1053458146		0x000005b9	5	0x07 ff 07 ff 28 	Default Parser	
1	0	40	RX	1053458149		0x0000011a	8	0x00 40 80 55 00 00 01 0d 	Default Parser	
1	0	41	RX	1053458154		0x000001db	8	0xff 80 ff ea 00 00 00 00 	Default Parser	
1	0	42	RX	1053458155		0x000001dc	8	0xff ff ff ff 01 09 0d 9f 	Default Parser	
1	0	43	RX	1053458156		0x000001d4	8	0x9f 6d 00 00 42 06 70 7d 	Default Parser	
1	0	44	RX	1053458156		0x000001f2	8	0x08 64 00 00 00 02 01 07 	Default Parser	
1	0	45	RX	1053458159		0x0000011a	8	0x01 40 80 55 40 00 02 c7 	Default Parser	
1	0	46	RX	1053458164		0x000001db	8	0xff 80 ff ea 00 00 01 85 	Default Parser	
1	0	47	RX	1053458165		0x000001dc	8	0xff ff ff ff 04 c4 c6 71 	Default Parser	
1	0	48	RX	1053458166		0x000001d4	8	0x9f 6d 00 00 82 06 70 b1 	Default Parser	
1	0	49	RX	1053458166		0x000001f2	8	0x08 64 00 00 00 02 02 08 	Default Parser	
1	0	50	RX	1053458166		0x0000050c	6	0x00 00 00 01 5d 5f 	Default Parser	
1	0	51	RX	1053458169		0x0000011a	8	0x01 40 80 aa 80 00 03 d1 	Default Parser	
1	0	52	RX	1053458173		0x0000054a	8	0x10 00 70 02 00 00 00 2a 	Default Parser	
1	0	53	RX	1053458174		0x000001db	8	0xff a0 ff ea 00 00 02 de 	Default Parser	
1	0	54	RX	1053458174		0x0000054b	8	0x00 08 80 00 04 00 00 00 	Default Parser	
1	0	55	RX	1053458175		0x000001dc	8	0xff ff ff ff 08 c0 cb a0 	Default Parser	
1	0	56	RX	1053458175		0x0000054c	8	0xff ff 00 00 00 f8 ff 00 	Default Parser	
1	0	57	RX	1053458176		0x000001d4	8	0x9f 6d 00 00 c2 06 70 76 	Default Parser	
1	0	58	RX	1053458176		0x000001f2	8	0x08 64 00 00 00 04 03 0b 	Default Parser	
