Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,000000F4,false,Rx,0,8,80,00,01,46,44,00,31,0D,
0,000000F5,false,Rx,0,8,01,71,40,00,10,00,30,B0,
0,000000F6,false,Rx,0,8,1C,F8,03,08,00,05,30,C7,
0,000000F7,false,Rx,0,8,42,12,00,05,80,00,35,C6,
0,00000107,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000095,false,Rx,0,8,3A,AA,0A,8A,09,0B,E0,28,
0,00000150,false,Rx,0,8,00,00,00,40,00,2A,E5,F2,
0,0000015A,false,Rx,0,4,80,00,08,D9,00,00,00,00,
0,000000B4,false,Rx,0,7,00,01,00,00,00,71,D8,00,
0,000000F0,false,Rx,0,8,00,02,10,00,80,00,71,EC,
0,000000F2,false,Rx,0,8,00,00,02,00,00,00,70,87,
0,00000108,false,Rx,0,8,38,6D,50,3D,09,00,70,B4,
0,00000160,false,Rx,0,8,00,0C,D0,46,23,2F,C0,F5,
0,00000175,false,Rx,0,8,00,00,00,2E,00,00,70,EC,
0,000001D7,false,Rx,0,8,00,00,00,00,00,00,70,53,
0,000001D8,false,Rx,0,8,00,00,00,00,21,71,C4,93,
0,00000212,false,Rx,0,8,00,00,00,00,00,00,C4,4B,
0,00000166,false,Rx,0,8,00,00,02,32,BE,7F,20,78,
0,000000F4,false,Rx,0,8,80,00,01,46,44,00,41,54,
0,000000F5,false,Rx,0,8,01,71,40,00,10,00,40,E9,
0,000000F6,false,Rx,0,8,1C,F8,03,08,00,08,40,A5,
0,000000F7,false,Rx,0,8,42,12,00,05,80,00,45,9F,
0,00000104,false,Rx,0,8,FF,FF,00,2C,00,00,20,E9,
0,00000164,false,Rx,0,8,10,00,1C,FB,03,04,21,4C,
0,00000107,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000095,false,Rx,0,8,3A,AA,0A,8A,09,0B,F0,E5,
0,000000E0,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000150,false,Rx,0,8,00,00,00,40,00,2A,F5,3F,
0,0000015A,false,Rx,0,4,80,00,09,C4,00,00,00,00,
0,000001D0,false,Rx,0,8,43,08,F0,28,10,00,80,42,
0,00000220,false,Rx,0,8,10,0D,10,10,10,0B,00,00,
0,00000235,false,Rx,0,8,0B,16,0B,93,18,F1,05,E4,
0,000000B4,false,Rx,0,7,00,01,00,00,00,81,A7,00,
