;$FILEVERSION=1.1
;$STARTTIME=43602.8098728588
;
;   F:\pcanview\pexic_start.trc
;
;   Start time: 17/05/2019 19:26:13.015.0
;   Generated by PCAN-View v4.2.2.555
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)      5415.9  Rx         0023  1  40 
     2)      5417.3  Rx         0460  8  03 E0 00 00 C0 00 00 00 
     3)      5426.8  Rx         0023  1  40 
     4)      5440.4  Rx         0408  8  0E 02 00 10 00 00 76 00 
     5)      5441.0  Rx         040B  8  00 00 00 00 00 90 60 00 
     6)      5452.0  Rx         0210  7  FF FF 30 68 90 00 01 
     7)      5452.2  Rx         04B0  8  27 10 27 10 27 10 27 10 
     8)      5466.0  Rx         0210  7  FF FF 30 68 90 00 02 
     9)      5466.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    10)      5480.0  Rx         0210  7  FF FF 30 68 90 00 03 
    11)      5480.2  Rx         04B0  8  27 10 27 10 27 10 27 10 
    12)      5494.0  Rx         0210  7  FF FF 30 68 90 00 04 
    13)      5494.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    14)      5508.0  Rx         0210  7  FF FF 30 68 90 00 05 
    15)      5508.2  Rx         04B0  8  27 10 27 10 27 10 27 10 
    16)      5516.7  Rx         0460  8  03 E0 00 00 C0 00 00 00 
    17)      5522.0  Rx         0210  7  FF FF 30 68 90 00 06 
    18)      5522.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    19)      5536.1  Rx         0210  7  FF FF 30 68 90 00 07 
    20)      5536.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    21)      5550.0  Rx         0210  7  FF FF 30 68 90 00 08 
    22)      5550.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    23)      5564.0  Rx         0210  7  FF FF 30 68 90 00 09 
    24)      5564.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    25)      5578.1  Rx         0210  7  FF FF 30 68 90 00 0A 
    26)      5578.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    27)      5592.1  Rx         0210  7  FF FF 30 68 90 00 0B 
    28)      5592.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
    29)      5606.1  Rx         0210  7  FF FF 30 68 90 00 0C 
    30)      5606.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    31)      5616.2  Rx         0023  1  40 
    32)      5616.5  Rx         0460  8  03 E0 00 00 C0 00 00 00 
    33)      5620.0  Rx         0210  7  FF FF 30 68 90 00 0D 
    34)      5620.2  Rx         04B0  8  27 10 27 10 27 10 27 10 
    35)      5634.0  Rx         0210  7  FF FF 30 68 90 00 0E 
    36)      5634.2  Rx         04B0  8  27 10 27 10 27 10 27 10 
    37)      5648.0  Rx         0210  7  FF FF 30 68 90 00 0F 
    38)      5648.2  Rx         04B0  8  27 10 27 10 27 10 27 10 
    39)      5662.0  Rx         0210  7  FF FF 30 68 90 00 10 
    40)      5662.2  Rx         04B0  8  27 10 27 10 27 10 27 10 
    41)      5669.9  Rx         0409  8  00 00 80 00 00 00 00 00 
    42)      5676.0  Rx         0210  7  FF FF 30 68 90 00 11 
    43)      5676.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    44)      5690.0  Rx         0210  7  FF FF 30 68 90 00 12 
    45)      5690.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    46)      5704.1  Rx         0210  7  FF FF 30 68 90 00 13 
    47)      5704.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    48)      5716.2  Rx         0460  8  03 E0 00 00 C0 00 00 00 
    49)      5718.1  Rx         0210  7  FF FF 30 68 90 00 14 
    50)      5718.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    51)      5719.3  Rx         0250  8  20 00 40 00 00 00 00 00 
    52)      5719.6  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
    53)      5720.0  Rx         0441  8  00 00 00 00 00 00 00 00 
    54)      5720.3  Rx         0442  8  00 00 00 00 00 00 00 00 
    55)      5720.6  Rx         0443  8  00 00 00 00 00 00 00 00 
    56)      5721.0  Rx         0444  8  00 00 00 00 00 00 00 00 
    57)      5721.3  Rx         03A0  8  00 00 00 00 00 00 00 00 
    58)      5721.6  Rx         03A1  8  80 10 08 00 24 00 EB 00 
    59)      5732.0  Rx         0210  7  FF FF 30 68 90 00 15 
    60)      5732.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    61)      5746.1  Rx         0210  7  FF FF 30 68 90 00 16 
    62)      5746.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    63)      5760.1  Rx         0210  7  FF FF 30 68 90 00 17 
    64)      5760.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    65)      5774.1  Rx         0210  7  FF FF 30 68 90 00 18 
    66)      5774.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    67)      5777.8  Rx         0300  8  02 00 25 00 00 00 01 00 
    68)      5778.0  Rx         030E  8  35 31 35 31 37 34 30 44 
    69)      5778.2  Rx         030F  8  30 30 30 30 30 32 31 36 
    70)      5788.1  Rx         0210  7  FF FF 30 68 90 00 19 
    71)      5788.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
    72)      5802.1  Rx         0210  7  FF FF 30 68 90 00 1A 
    73)      5802.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
    74)      5802.8  Rx         0300  8  02 00 25 00 00 00 01 00 
    75)      5803.0  Rx         030E  8  35 31 35 31 37 34 30 44 
    76)      5803.3  Rx         030F  8  30 30 30 30 30 32 31 36 
    77)      5815.9  Rx         0023  1  40 
    78)      5816.1  Rx         0210  7  FF FF 30 68 90 00 1B 
    79)      5816.4  Rx         0460  8  03 E0 00 00 C0 00 00 00 
    80)      5816.6  Rx         04B0  8  27 10 27 10 27 10 27 10 
    81)      5817.5  Rx         0250  8  28 00 40 00 00 00 00 00 
    82)      5827.8  Rx         0300  8  02 00 25 00 00 00 01 00 
    83)      5828.0  Rx         030E  8  35 31 35 31 37 34 30 44 
    84)      5828.2  Rx         030F  8  30 30 30 30 30 32 31 36 
    85)      5830.1  Rx         0210  7  FF FF 30 68 90 00 1C 
    86)      5830.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    87)      5844.1  Rx         0210  7  FF FF 30 68 90 00 1D 
    88)      5844.3  Rx         04B0  8  27 10 27 10 27 10 27 10 
    89)      5853.1  Rx         0300  8  02 00 25 00 00 00 01 00 
    90)      5853.4  Rx         030E  8  35 31 35 31 37 34 30 44 
    91)      5853.6  Rx         030F  8  30 30 30 30 30 32 31 36 
    92)      5858.1  Rx         0210  7  FF FF 30 68 90 00 1E 
    93)      5858.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
    94)      5872.2  Rx         0210  7  FF FF 30 68 90 00 1F 
    95)      5872.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
    96)      5878.1  Rx         0300  8  02 00 25 00 00 00 01 00 
    97)      5878.3  Rx         030E  8  35 31 35 31 37 34 30 44 
    98)      5878.6  Rx         030F  8  30 30 30 30 30 32 31 36 
    99)      5886.2  Rx         0210  7  FF FF 30 68 90 00 20 
   100)      5886.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
   101)      5900.1  Rx         0210  7  FF FF 30 68 90 00 21 
   102)      5900.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
   103)      5903.1  Rx         0300  8  02 00 25 00 00 00 01 00 
   104)      5903.3  Rx         030E  8  35 31 35 31 37 34 30 44 
   105)      5903.6  Rx         030F  8  30 30 30 30 30 32 31 36 
   106)      5914.1  Rx         0210  7  FF FF 30 68 90 00 22 
   107)      5914.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
   108)      5915.8  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   109)      5917.6  Rx         0251  8  00 00 00 00 00 00 00 00 
   110)      5917.9  Rx         0250  8  28 00 40 00 00 00 00 00 
   111)      5918.4  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   112)      5918.7  Rx         0441  8  00 00 00 00 00 00 00 00 
   113)      5919.0  Rx         0442  8  00 00 00 00 00 00 00 00 
   114)      5919.3  Rx         0443  8  00 00 00 00 00 00 00 00 
   115)      5919.7  Rx         0444  8  00 00 00 00 00 00 00 00 
   116)      5927.7  Rx         0265  8  00 00 00 00 00 00 00 00 
   117)      5928.1  Rx         0300  8  02 00 25 00 00 00 01 00 
   118)      5928.4  Rx         0210  7  FF FF 30 68 90 00 23 
   119)      5928.6  Rx         030E  8  35 31 35 31 37 34 30 44 
   120)      5928.8  Rx         030F  8  30 30 30 30 30 32 31 36 
   121)      5929.0  Rx         04B0  8  27 10 27 10 27 10 27 10 
   122)      5937.5  Rx         0310  3  02 00 00 
   123)      5939.7  Rx         0408  8  0E 02 81 10 00 18 76 0B 
   124)      5940.5  Rx         040B  8  00 00 05 00 00 90 60 00 
   125)      5942.2  Rx         0210  7  FF FF 30 68 90 00 24 
   126)      5942.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
   127)      5953.2  Rx         0300  8  02 00 25 00 00 00 01 00 
   128)      5953.4  Rx         030E  8  35 31 35 31 37 34 30 44 
   129)      5953.6  Rx         030F  8  30 30 30 30 30 32 31 36 
   130)      5956.2  Rx         0210  7  FF FF 30 68 90 00 25 
   131)      5956.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
   132)      5957.7  Rx         0359  8  02 00 00 85 00 00 00 00 
   133)      5970.2  Rx         0210  7  FF FF 30 68 90 00 26 
   134)      5970.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
   135)      5978.2  Rx         0300  8  02 00 25 00 00 00 01 00 
   136)      5978.4  Rx         030E  8  35 31 35 31 37 34 30 44 
   137)      5978.6  Rx         030F  8  30 30 30 30 30 32 31 36 
   138)      5984.2  Rx         0210  7  FF FF 30 68 90 00 27 
   139)      5984.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   140)      5998.2  Rx         0210  7  FF FF 30 68 90 00 28 
   141)      5998.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   142)      6003.2  Rx         0300  8  02 00 25 00 00 00 01 00 
   143)      6003.4  Rx         030E  8  35 31 35 31 37 34 30 44 
   144)      6003.7  Rx         030F  8  30 30 30 30 30 32 31 36 
   145)      6012.2  Rx         0210  7  FF FF 30 68 90 00 29 
   146)      6012.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
   147)      6015.5  Rx         0023  1  40 
   148)      6015.8  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   149)      6017.4  Rx         0250  8  28 00 40 00 00 00 00 00 
   150)      6017.8  Rx         0251  8  00 00 00 00 00 00 00 00 
   151)      6026.2  Rx         0210  7  FF FF 30 68 90 00 2A 
   152)      6026.4  Rx         04B0  8  27 10 27 10 27 10 27 10 
   153)      6027.7  Rx         0264  8  00 C0 51 00 00 E1 00 00 
   154)      6037.7  Rx         0265  8  00 00 00 00 00 00 00 00 
   155)      6040.2  Rx         0210  7  FF FF 30 68 90 00 2B 
   156)      6040.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   157)      6047.6  Rx         0311  2  00 00 
   158)      6054.3  Rx         0210  7  FF FF 30 68 90 00 2C 
   159)      6054.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   160)      6068.3  Rx         0210  7  FF FF 30 68 90 00 2D 
   161)      6068.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   162)      6078.2  Rx         0301  8  00 00 00 03 00 34 00 FA 
   163)      6078.5  Rx         0302  8  01 00 00 00 09 54 00 00 
   164)      6078.7  Rx         0304  8  00 00 04 00 00 00 00 00 
   165)      6078.9  Rx         0305  8  00 00 0F 40 00 00 00 00 
   166)      6079.2  Rx         0303  8  0F 59 00 00 00 00 00 00 
   167)      6082.2  Rx         0210  7  FF FF 30 68 90 00 2E 
   168)      6082.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   169)      6096.2  Rx         0210  7  FF FF 30 68 90 00 2F 
   170)      6096.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   171)      6110.3  Rx         0210  7  FF FF 30 68 90 00 30 
   172)      6110.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   173)      6115.4  Rx         0460  8  03 E0 00 00 C0 00 00 00 
   174)      6117.7  Rx         0250  8  28 00 40 00 00 00 00 00 
   175)      6118.0  Rx         0251  8  00 00 00 00 00 00 00 00 
   176)      6118.2  Rx         0440  8  0D 6E 09 0A 00 00 00 00 
   177)      6118.8  Rx         0441  8  00 00 00 00 00 00 00 00 
   178)      6119.1  Rx         0442  8  00 00 00 00 00 00 00 00 
   179)      6119.5  Rx         0443  8  00 00 00 00 00 00 00 00 
   180)      6119.8  Rx         0444  8  00 00 00 00 00 00 00 00 
   181)      6124.3  Rx         0210  7  FF FF 30 68 90 00 31 
   182)      6124.5  Rx         04B0  8  27 10 27 10 27 10 27 10 
   183)      6127.7  Rx         0265  8  00 00 00 00 00 36 00 00 
   184)      6137.6  Rx         0310  3  02 00 00 
